year,msa,RDI,RDI_trailing,real_relative_rent_growth,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_move
2018,Youngstown - OH,2.5,2.5,-0.007893621921539296,0.031066573083400807,0.002967713400721602,0.0
2017,Youngstown - OH,2.5,2.5,-0.008295612409710799,0.02078421586751941,-0.036008594557642895,0.0
2016,Youngstown - OH,2.5,2.0,-0.0146313058212399,0.019945207491517104,-0.07221938669681541,-0.5
2015,Youngstown - OH,2.0,2.5,-0.005991475656628598,0.017269548483193002,-0.044458989985286995,0.5
2014,Youngstown - OH,2.5,2.5,-0.014986405847594142,0.0234132619127632,-0.049729538150131494,0.0
2013,Youngstown - OH,2.5,2.5,-0.01140911690890789,0.0055512072984129565,-0.05179842165671274,0.0
2012,Youngstown - OH,2.5,2.5,-0.00989475380629306,-0.0009725393112748337,-0.05531391664408133,0.0
2011,Youngstown - OH,2.5,2.5,-0.00537275569513437,-0.010713861448690293,-0.056913058040663586,0.0
2010,Youngstown - OH,2.5,2.0,-0.005402301088906825,-0.03589264283888047,-0.04765450791455806,-0.5
2009,Youngstown - OH,2.0,2.0,0.008922275155782651,-0.07502702905330808,-0.04706533334683628,0.0
2008,Youngstown - OH,2.0,2.5,0.0063786390237510066,-0.07969307321589443,-0.023156652343459493,0.5
2007,Youngstown - OH,2.5,2.5,-0.005748949013650402,-0.09754289290588354,-0.005368896410800596,0.0
2006,Youngstown - OH,2.5,2.5,-0.014741944149136599,-0.08896623676549648,-0.0012230916181579388,0.0
2018,York - PA,2.5,2.5,0.006194222718477305,-0.002227171465754501,-0.03032603114843371,0.0
2017,York - PA,2.5,2.5,0.0109925419092179,0.0229618026465178,-0.033831007778644506,0.0
2016,York - PA,2.5,2.5,0.0026379730552434973,0.10604912924766549,0.013884535059332992,0.0
2015,York - PA,2.5,2.5,0.001364406198263203,0.0826713940948249,0.0209428556263449,0.0
2014,York - PA,2.5,2.5,-0.005120561458170402,0.07467987532913689,0.0015370752662422008,0.0
2013,York - PA,2.5,2.5,-0.0076555078849196,0.0734182113781572,0.016068582423031504,0.0
2012,York - PA,2.5,2.5,-0.004369935020804499,0.05656022915244109,0.002218851819634599,0.0
2011,York - PA,2.5,2.5,-0.00472741201519963,0.03305557148158549,-0.0131436251103878,0.0
2010,York - PA,2.5,2.5,0.008620913373306385,-0.008747145105153335,-0.020509010180830928,0.0
2009,York - PA,2.5,2.5,0.0015349499881267513,-0.04121419871225954,-0.013252503005787746,0.0
2008,York - PA,2.5,2.0,-0.0009652548469603062,-0.06313341243192554,-0.006596991559490593,-0.5
2007,York - PA,2.0,2.5,0.006962704472243798,-0.09208073501661423,0.00009326147846870116,0.5
2006,York - PA,2.5,2.5,-0.012646742165088699,-0.07631724417582154,0.011425900971516998,0.0
2018,Worcester - MA,2.0,2.0,0.007386755198240301,0.0458703905791043,0.01777153089642509,0.0
2017,Worcester - MA,2.0,2.0,-0.0037407726049422975,0.053684670343995,-0.003108140081167308,0.0
2016,Worcester - MA,2.0,2.0,0.0018706507980824003,0.0875554266124963,-0.0046091675758362025,0.0
2015,Worcester - MA,2.0,2.5,0.011834148317575503,0.0718511319607496,0.0101225934922696,0.5
2014,Worcester - MA,2.5,2.5,0.012021098285913499,0.0986742037832737,0.025531403720379004,0.0
2013,Worcester - MA,2.5,2.5,0.0003107134252787018,0.0867215089499951,0.029371879994869406,0.0
2012,Worcester - MA,2.5,2.5,-0.00011865794658669909,0.0766372155547143,0.022295838221907806,0.0
2011,Worcester - MA,2.5,2.5,0.00018326984718449943,0.0721171494722367,0.025917952880263405,0.0
2010,Worcester - MA,2.5,2.5,0.012005358235910486,0.0359924370050431,0.024230571929365504,0.0
2009,Worcester - MA,2.5,2.5,0.000361435115337351,-0.0035599138587712985,0.024401781847700487,0.0
2008,Worcester - MA,2.5,2.5,-0.0008062110282480751,-0.043794302195310594,0.01274211867712434,0.0
2007,Worcester - MA,2.5,2.0,0.0027124667540193003,-0.08054880227148538,0.011625194223597562,-0.5
2006,Worcester - MA,2.0,2.0,-0.013525858521461497,-0.07328682622313498,0.014456318924203562,0.0
2018,Winston-Salem - NC,2.5,2.5,0.0178501009941101,0.10179831725358911,0.0736994575709099,0.0
2017,Winston-Salem - NC,2.5,2.5,0.003499610349536001,0.1527273411452765,0.0959345307201142,0.0
2016,Winston-Salem - NC,2.5,2.5,0.015796765685081503,0.1881252447813744,0.0959606505930419,0.0
2015,Winston-Salem - NC,2.5,2.5,-0.0037226211279629967,0.1268798760026693,0.06515133753418931,0.0
2014,Winston-Salem - NC,2.5,2.5,-0.001159293577075001,0.1150247934758663,0.04188199341297161,0.0
2013,Winston-Salem - NC,2.5,2.5,0.006998181343078599,0.0896141912788153,0.032264562323689606,0.0
2012,Winston-Salem - NC,2.5,2.5,-0.01432167924940591,0.0757540200054646,0.021412642672658105,0.0
2011,Winston-Salem - NC,2.5,2.5,0.00039839884266259715,0.04979054966568949,0.003591353073716195,0.0
2010,Winston-Salem - NC,2.5,2.5,0.0017692262772470643,-0.00004514869302511479,-0.01180701376870271,0.0
2009,Winston-Salem - NC,2.5,2.5,0.00043531507253645116,-0.034276862069964435,-0.00631516636349265,0.0
2008,Winston-Salem - NC,2.5,2.5,-0.026670217979699394,-0.06125697858631614,-0.0047205577138811974,0.0
2007,Winston-Salem - NC,2.5,2.5,-0.003278880380094001,-0.13056295353174213,-0.03838895703665919,0.0
2006,Winston-Salem - NC,2.5,3.0,0.025743573904037496,-0.11508930331468582,-0.027346158167347284,0.5
2018,Wichita - KS,2.5,2.5,-0.012623799964785597,0.0227345403730869,-0.005364319309592306,0.0
2017,Wichita - KS,2.5,2.5,-0.012116334401070999,0.0298563315123319,-0.026936478912830405,0.0
2016,Wichita - KS,2.5,2.5,-0.01777822617441415,0.0419473801478743,-0.0502172140404582,0.0
2015,Wichita - KS,2.5,2.5,-0.006194910034537298,0.013070536300539948,-0.04865800216794005,0.0
2014,Wichita - KS,2.5,2.5,-0.01422338071279227,0.02202100637555115,-0.05112179368734355,0.0
2013,Wichita - KS,2.5,2.5,-0.0005384199321269989,-0.005587022332474623,-0.06293665128760031,0.0
2012,Wichita - KS,2.5,2.5,-0.0024660984054207993,0.0034901060778647786,-0.05085127125494172,0.0
2011,Wichita - KS,2.5,2.5,-0.0008928398601710484,0.004998161332681779,-0.041201035259291516,0.0
2010,Wichita - KS,2.5,2.5,-0.006636849226197231,-0.01255378386937082,-0.024315648945048417,0.0
2009,Wichita - KS,2.5,2.5,0.01026447489857675,-0.052719283843180136,-0.02475758813670835,0.0
2008,Wichita - KS,2.5,2.5,0.008605261798948004,-0.05680615339777427,-0.00026973252533932755,0.0
2007,Wichita - KS,2.5,2.5,-0.0020668888464569993,-0.08330004728934727,0.008873949205735676,0.0
2006,Wichita - KS,2.5,2.5,-0.0237947031855583,-0.07846998638263906,0.009273158764699476,0.0
2018,Washington - DC,2.5,2.5,-0.002371491864323595,-0.04608728471398352,-0.07418614439666271,0.0
2017,Washington - DC,2.5,2.5,-0.010962388478219499,-0.029425243049860012,-0.0862180534750223,0.0
2016,Washington - DC,2.5,2.5,-0.012593150138855,0.014030445806682085,-0.0781341483816504,0.0
2015,Washington - DC,2.5,2.5,0.0057577230036259044,-0.03151997692137961,-0.0932485153898596,0.0
2014,Washington - DC,2.5,2.5,-0.008491301909089082,0.0490883761569857,-0.024054423905908985,0.0
2013,Washington - DC,2.5,2.5,-0.0082974415272474,0.028689019568264418,-0.028660609386861262,0.0
2012,Washington - DC,2.5,2.5,0.0036046802997589007,0.01975481828302142,-0.03458655904978507,0.0
2011,Washington - DC,2.5,2.5,0.005722504574805498,0.02617970632016662,-0.02001949027180667,0.0
2010,Washington - DC,2.5,2.5,0.04328288999386129,0.010058029517531417,-0.001703835558146169,0.0
2009,Washington - DC,2.5,2.5,0.03865292482078074,0.007859635725617419,0.035821331432089216,0.0
2008,Washington - DC,2.5,2.5,0.013501801993697906,0.02642913728952409,0.08296555816195904,0.0
2007,Washington - DC,2.5,2.5,0.015582344494760097,0.01259080518782139,0.10476480168290433,0.0
2006,Washington - DC,2.5,2.5,0.013575565069913899,0.028999320730566987,0.11674246587790554,0.0
2018,Waco - TX,3.0,2.5,-0.013311645016074198,0.06409036912769125,0.035991509445012046,-0.5
2017,Waco - TX,2.5,3.0,-0.0030096322298049996,0.0920804402381186,0.03528762981295629,0.5
2016,Waco - TX,3.0,2.5,-0.001548679545521698,0.0985084767192606,0.006343882530928092,-0.5
2015,Waco - TX,2.5,2.5,-0.008988987654447497,0.0515766101777553,-0.010151928290724699,0.0
2014,Waco - TX,2.5,2.5,0.007734226062893899,0.0496717165708541,-0.023471083492040596,0.0
2013,Waco - TX,2.5,2.5,-0.0037160236388445005,0.0382249105721712,-0.019124718382954493,0.0
2012,Waco - TX,2.5,3.0,-0.001105325296521199,0.0448122803270817,-0.009529097005724796,0.5
2011,Waco - TX,3.0,2.5,0.0008629621006548994,0.0385744065195323,-0.007624790072440995,-0.5
2010,Waco - TX,2.5,2.5,-0.0019200753886252642,0.006548716649413196,-0.005213148426264398,0.0
2009,Waco - TX,2.5,2.5,-0.002875829115510046,-0.026105931866913953,0.0018557638395578346,0.0
2008,Waco - TX,2.5,2.5,0.0005151038058102131,-0.06529071221128105,-0.00875429133884611,0.0
2007,Waco - TX,2.5,2.5,0.014153539203107397,-0.09669716038927434,-0.0045231638941913965,0.0
2006,Waco - TX,2.5,2.5,0.00017990916967389886,-0.07700744454190134,0.0107357006054372,0.0
2018,Ventura - CA,3.0,3.0,0.005449421703815502,0.04918483909964569,0.021085979416966483,0.0
2017,Ventura - CA,3.0,3.0,0.016553096473217,0.07572070682048809,0.018927896395325786,0.0
2016,Ventura - CA,3.0,3.0,0.0097240805625916,0.1669306247234345,0.074766030535102,0.0
2015,Ventura - CA,3.0,3.0,0.034358363598585205,0.11131890815496451,0.0495903696864845,0.0
2014,Ventura - CA,3.0,3.5,0.0285435952246189,0.1346553708910943,0.06151257082819961,0.5
2013,Ventura - CA,3.5,3.0,0.015677766874432602,0.15197818651795392,0.0946285575628282,-0.5
2012,Ventura - CA,3.0,3.0,0.0167067311704158,0.1591982800662518,0.1048569027334453,0.0
2011,Ventura - CA,3.0,3.0,0.007691162172705001,0.15120973402261742,0.1050105374306441,0.0
2010,Ventura - CA,3.0,3.0,0.007685783552005885,0.11473948411643511,0.1029776190407575,0.0
2009,Ventura - CA,3.0,3.0,-0.021048108115792247,0.048343343287706404,0.07630503899417819,0.0
2008,Ventura - CA,3.0,3.0,-0.016415085177868605,-0.029823085218667895,0.026713335653767042,0.0
2007,Ventura - CA,3.0,3.0,0.0037892041727900973,-0.0975535128936171,-0.005379516398534165,0.0
2006,Ventura - CA,3.0,3.0,0.0195823051035404,-0.1060401885434984,-0.018297043396159864,0.0
2018,Vallejo-Fairfield - CA,3.0,3.0,0.019648157060146304,-0.021157856240868536,-0.049256715923547745,0.0
2017,Vallejo-Fairfield - CA,3.0,3.0,0.0162176936864853,0.041453839145600774,-0.015338971279561537,0.0
2016,Vallejo-Fairfield - CA,3.0,3.0,0.04300960898399351,0.1346825002431869,0.04251790605485439,0.0
2015,Vallejo-Fairfield - CA,3.0,3.0,0.0748296566307543,0.1688298503756522,0.10710131190717222,0.0
2014,Vallejo-Fairfield - CA,3.0,3.0,0.021656978875398598,0.23248247760534252,0.15933967754244782,0.0
2013,Vallejo-Fairfield - CA,3.0,3.0,0.010937457904219603,0.2327117241919037,0.17536209523677804,0.0
2012,Vallejo-Fairfield - CA,3.0,3.0,0.001850394532084399,0.2209927734136578,0.16665139608085133,0.0
2011,Vallejo-Fairfield - CA,3.0,3.0,0.005019708070903999,0.1984832935184237,0.15228409692645042,0.0
2010,Vallejo-Fairfield - CA,3.0,3.0,-0.004239755915477875,0.1260560610890385,0.11429419601336091,0.0
2009,Vallejo-Fairfield - CA,3.0,3.0,-0.02437433786690235,0.007263087760656942,0.03522478346712872,0.0
2008,Vallejo-Fairfield - CA,3.0,3.0,0.0035308250226080036,-0.06734295414760716,-0.010806533275172225,0.0
2007,Vallejo-Fairfield - CA,3.0,3.0,0.0013543544337154007,-0.11038716265186677,-0.018213166156783825,0.0
2006,Vallejo-Fairfield - CA,3.0,2.5,-0.005989849567413295,-0.10645235140249136,-0.01870920625515282,-0.5
2018,Tyler - TX,2.5,2.5,0.015903972089290605,0.023600682474672445,-0.004498177208006757,0.0
2017,Tyler - TX,2.5,2.5,0.005484275519847901,0.0838171763867136,0.0270243659615513,0.0
2016,Tyler - TX,2.5,2.5,-0.02722089295275509,0.1323340343981977,0.040169440209865195,0.0
2015,Tyler - TX,2.5,2.5,-0.002884412184357598,0.05801582917384801,-0.0037127092946319887,0.0
2014,Tyler - TX,2.5,2.5,-0.003800886683166001,0.05618149815313511,-0.016961301909759585,0.0
2013,Tyler - TX,2.5,2.5,-0.01271609868854285,0.04483168474398551,-0.012517944211140181,0.0
2012,Tyler - TX,2.5,2.5,0.005480853840708701,0.013203362343832856,-0.04113801498897364,0.0
2011,Tyler - TX,2.5,2.5,0.006383646745234801,0.005057759923860457,-0.04114143666811283,0.0
2010,Tyler - TX,2.5,2.5,-0.0008062480483204161,0.0042249681055546474,-0.007536896970122943,0.0
2009,Tyler - TX,2.5,2.5,0.018903987482190153,-0.03342042854055755,-0.005458732834085761,0.0
2008,Tyler - TX,2.5,2.5,0.005237607751041602,-0.039290279541164555,0.017246141331270393,0.0
2007,Tyler - TX,2.5,2.5,0.0105325793847442,-0.0569741487242281,0.035199847770854845,0.0
2006,Tyler - TX,2.5,2.5,0.005017049610614804,-0.047491571832448204,0.04025157331489034,0.0
