cbsacode,metropolitandivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,fipsstatecode,fipscountycode,centraloutlyingcounty,FIPS,cbsajoin,costar_msa
33860,,388,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma, AL",Autauga County,Alabama,1,1,Central,1001,33860,#N/A
41860,36084,488,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area,"Oakland-Fremont-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6,1,Central,6001,36084,San Francisco - CA
19740,,216,"Denver-Aurora-Centennial, CO",Metropolitan Statistical Area,,"Denver-Aurora-Greeley, CO",Adams County,Colorado,8,1,Central,8001,19740,Denver - CO
20100,,428,"Dover, DE",Metropolitan Statistical Area,,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Kent County,Delaware,10,1,Central,10001,20100,#N/A
47900,47764,548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,"Washington, DC-MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",District of Columbia,District of Columbia,11,1,Central,11001,47764,Washington - DC
23540,,264,"Gainesville, FL",Metropolitan Statistical Area,,"Gainesville-Lake City, FL",Alachua County,Florida,12,1,Central,12001,23540,Gainesville - FL
25900,,,"Hilo-Kailua, HI",Micropolitan Statistical Area,,,Hawaii County,Hawaii,15,1,Central,15001,25900,#N/A
14260,,147,"Boise City, ID",Metropolitan Statistical Area,,"Boise City-Mountain Home-Ontario, ID-OR",Ada County,Idaho,16,1,Central,16001,14260,Boise - ID
39500,,448,"Quincy, IL-MO",Micropolitan Statistical Area,,"Quincy-Hannibal, IL-MO",Adams County,Illinois,17,1,Central,17001,39500,#N/A
19540,,258,"Decatur, IN",Micropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Adams County,Indiana,18,1,Central,18001,19540,#N/A
29180,,318,"Lafayette, LA",Metropolitan Statistical Area,,"Lafayette-New Iberia-Opelousas, LA",Acadia Parish,Louisiana,22,1,Outlying,22001,29180,#N/A
30340,,438,"Lewiston-Auburn, ME",Metropolitan Statistical Area,,"Portland-Lewiston-South Portland, ME",Androscoggin County,Maine,23,1,Central,23001,30340,#N/A
19060,,,"Cumberland, MD-WV",Micropolitan Statistical Area,,,Allegany County,Maryland,24,1,Central,24001,19060,#N/A
12700,,148,"Barnstable Town, MA",Metropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH",Barnstable County,Massachusetts,25,1,Central,25001,12700,#N/A
35020,,,"Natchez, MS-LA",Micropolitan Statistical Area,,,Adams County,Mississippi,28,1,Central,28001,35020,#N/A
28860,,,"Kirksville, MO",Micropolitan Statistical Area,,,Adair County,Missouri,29,1,Central,29001,28860,#N/A
25580,,,"Hastings, NE",Micropolitan Statistical Area,,,Adams County,Nebraska,31,1,Central,31001,25580,#N/A
21980,,456,"Fallon, NV",Micropolitan Statistical Area,,"Reno-Carson City-Gardnerville Ranchos, NV-CA",Churchill County,Nevada,32,1,Central,32001,21980,#N/A
29060,,148,"Laconia, NH",Micropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH",Belknap County,New Hampshire,33,1,Central,33001,29060,#N/A
12100,,428,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Atlantic County,New Jersey,34,1,Central,34001,12100,#N/A
10740,,105,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Los Alamos, NM",Bernalillo County,New Mexico,35,1,Central,35001,10740,Albuquerque - NM
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Albany County,New York,36,1,Central,36001,10580,Albany - NY
15500,,268,"Burlington, NC",Metropolitan Statistical Area,,"Greensboro--Winston-Salem--High Point, NC",Alamance County,North Carolina,37,1,Central,37001,15500,#N/A
12520,,,"Baker City, OR",Micropolitan Statistical Area,,,Baker County,Oregon,41,1,Central,41001,12520,#N/A
23900,,276,"Gettysburg, PA",Metropolitan Statistical Area,,"Harrisburg-York-Lebanon, PA",Adams County,Pennsylvania,42,1,Central,42001,23900,#N/A
39300,,148,"Providence-Warwick, RI-MA",Metropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH",Bristol County,Rhode Island,44,1,Central,44001,39300,Providence - RI
24940,,273,"Greenwood, SC",Micropolitan Statistical Area,,"Greenville-Spartanburg-Anderson, SC",Abbeville County,South Carolina,45,1,Outlying,45001,24940,#N/A
28940,,315,"Knoxville, TN",Metropolitan Statistical Area,,"Knoxville-Morristown-Sevierville, TN",Anderson County,Tennessee,47,1,Central,47001,28940,Knoxville - TN
37300,,,"Palestine, TX",Micropolitan Statistical Area,,,Anderson County,Texas,48,1,Central,48001,37300,#N/A
36830,,393,"Othello, WA",Micropolitan Statistical Area,,"Moses Lake-Othello, WA",Adams County,Washington,53,1,Central,53001,36830,#N/A
29660,,,"Laramie, WY",Micropolitan Statistical Area,,,Albany County,Wyoming,56,1,Central,56001,29660,#N/A
