costar_msa,cbsatitle
Akron - OH USA,"Akron, OH"
Albany - NY USA,"Albany-Schenectady-Troy, NY"
Albuquerque - NM USA,"Albuquerque, NM"
Lehigh Valley - PA USA,"Allentown-Bethlehem-Easton, PA-NJ"
Ann Arbor - MI USA,"Ann Arbor, MI"
Atlanta - GA USA,"Atlanta-Sandy Springs-Roswell, GA"
Augusta - GA USA,"Augusta-Richmond County, GA-SC"
Austin - TX USA,"Austin-Round Rock-San Marcos, TX"
Bakersfield - CA USA,"Bakersfield-Delano, CA"
Baltimore - MD USA,"Baltimore-Columbia-Towson, MD"
Baton Rouge - LA USA,"Baton Rouge, LA"
Birmingham - AL USA,"Birmingham, AL"
Boise - ID USA,"Boise City, ID"
Boston - MA USA,"Boston-Cambridge-Newton, MA-NH"
Buffalo - NY USA,"Buffalo-Cheektowaga, NY"
Fort Myers - FL USA,"Cape Coral-Fort Myers, FL"
Charleston - SC USA,"Charleston-North Charleston, SC"
Charlotte - NC USA,"Charlotte-Concord-Gastonia, NC-SC"
Chattanooga - TN USA,"Chattanooga, TN-GA"
Chicago - IL USA,"Chicago-Naperville-Elgin, IL-IN"
Cincinnati - OH USA,"Cincinnati, OH-KY-IN"
Cleveland - OH USA,"Cleveland, OH"
Colorado Springs - CO USA,"Colorado Springs, CO"
Columbia - SC USA,"Columbia, SC"
Columbus - OH USA,"Columbus, OH"
Corpus Christi - TX USA,"Corpus Christi, TX"
Dallas-Fort Worth - TX USA,"Dallas-Fort Worth-Arlington, TX"
Dayton - OH USA,"Dayton-Kettering-Beavercreek, OH"
Daytona Beach - FL USA,"Deltona-Daytona Beach-Ormond Beach, FL"
Denver - CO USA,"Denver-Aurora-Centennial, CO"
Des Moines - IA USA,"Des Moines-West Des Moines, IA"
Detroit - MI USA,"Detroit-Warren-Dearborn, MI"
Durham - NC USA,"Durham-Chapel Hill, NC"
El Paso - TX USA,"El Paso, TX"
Fargo - ND USA,"Fargo, ND-MN"
Fresno - CA USA,"Fresno, CA"
Gainesville - FL USA,"Gainesville, FL"
Grand Rapids - MI USA,"Grand Rapids-Wyoming-Kentwood, MI"
Greensboro - NC USA,"Greensboro-High Point, NC"
Greenville - SC USA,"Greenville-Anderson-Greer, SC"
Harrisburg - PA USA,"Harrisburg-Carlisle, PA"
Hartford - CT USA,"Hartford-West Hartford-East Hartford, CT"
Houston - TX USA,"Houston-Pasadena-The Woodlands, TX"
Indianapolis - IN USA,"Indianapolis-Carmel-Greenwood, IN"
Jackson - MS USA,"Jackson, MS"
Jacksonville - NC USA,"Jacksonville, FL"
Jacksonville - FL USA,"Jacksonville, FL"
Kansas City - MO USA,"Kansas City, MO-KS"
Poughkeepsie - NY USA,"Kiryas Joel-Poughkeepsie-Newburgh, NY"
Knoxville - TN USA,"Knoxville, TN"
Lakeland - FL USA,"Lakeland-Winter Haven, FL"
Lancaster - PA USA,"Lancaster, PA"
Lansing - MI USA,"Lansing-East Lansing, MI"
