year,cpi_pct
1948,0.0795022
1949,-0.0188921
1950,0.0065274
1951,0.0856031
1952,0.0200119
1953,0.0035139
1954,-0.001459
1955,-0.0061368
1956,0.0147016
1957,0.0336134
1958,0.0285955
1959,0.0089943
1960,0.0143166
1961,0.0114514
1962,0.0121116
1963,0.0122268
1964,0.0115652
1965,0.015752
1966,0.0297649
1967,0.0264756
1968,0.0404638
1969,0.047305
1970,0.05038
1971,0.0423816
1972,0.0303451
1973,0.06641
1974,0.1140794
1975,0.0895982
1976,0.0576952
1977,0.0642486
1978,0.0676354
1979,0.1015838
1980,0.1176008
1981,0.0972864
1982,0.0573365
1983,0.0375087
1984,0.0409117
1985,0.0298388
1986,0.0093465
1987,0.0340304
1988,0.0378358
1989,0.0491839
1990,0.0538688
1991,0.0415556
1992,0.0289086
1993,0.0293707
1994,0.0242882
1995,0.0264748
1996,0.0280908
1997,0.0205606
1998,0.0081761
1999,0.019241
2000,0.0341671
2001,0.0241879
2002,0.0063829
2003,0.0222472
2004,0.0267742
2005,0.0378358
2006,0.0311716
2007,0.0249018
2008,0.044469
2009,-0.0099807
2010,0.0262279
2011,0.0400293
2012,0.0203264
2013,0.0107382
2014,0.0104964
2015,-0.0126966
2016,0.0022915
2017,0.0153561
2018,0.0199792
2019,0.0104797
2020,0.0064401
2021,0.0569158
2022,0.0903412
2023,0.0249275
