,msa,year,quantity,price,pers_disinflation,rentpsf,implied_demand,supply_growth,rent_growth_next_year,relative_rg_next_year,hist_supply_growth_mean,hist_implied_demand_mean,group_P,group_Q,group
0,Akron - OH,2011,0.0013136633953331337,0.6714023282183808,10,0.6219853267871763,0.004438326083628356,-0.0042522207659822335,-0.011975878,-0.006564662499999999,0.012384854755463486,-0.011182844780576708,underPriced,underSupplied,underPriced-underSupplied
1,Akron - OH,2012,0.0007006810842555798,0.6609010413497539,10,0.6164445778754488,-0.0036235228695627162,0.0034806516715902777,-0.001994843999999999,-0.0100493835,0.009948308694402823,-0.009026793290970352,underPriced,overSupplied,underPriced-overSupplied
2,Akron - OH,2013,0.0018331319978596402,0.6586177197507126,10,0.614479671947709,-0.007237202745428986,0.009473009210679725,0.009094011999999999,0.006794528499999997,0.006937117351187202,-0.006364974612706088,underPriced,overSupplied,underPriced-overSupplied
3,Akron - OH,2014,2.527270063536409e-05,0.6437645561973855,10,0.6188680087369347,0.0004255640542880384,0.0009528484393497531,0.029710524,-0.0034777965000000015,0.00786568583391612,-0.007269383786144036,underPriced,overSupplied,underPriced-overSupplied
4,Akron - OH,2015,-6.975905540574415e-05,0.6396159337053178,9,0.6393264553067507,-0.01343584013156605,0.01254831823688917,-0.0005039979999999986,-0.012182417499999999,0.006250395075403846,-0.0056228090854185874,underPriced,overSupplied,underPriced-overSupplied
5,Akron - OH,2016,-9.73980773235671e-05,0.6328138631504424,8,0.6380572761596072,-0.014314663294079214,0.013560867211760348,-0.005495829000000001,-0.0051829675,0.0073395013896402714,-0.006866919205255536,overPriced,overSupplied,overPriced-overSupplied
6,Akron - OH,2017,-8.034083220647029e-05,0.6255937741053831,8,0.631726426381249,-0.005127210764609393,0.005115664614779212,0.0009309129999999985,-0.006011187000000001,0.00843821939949821,-0.008076808902551705,overPriced,overSupplied,overPriced-overSupplied
7,Akron - OH,2018,-0.0005882704007263803,0.6279388202722297,8,0.6301874423116037,-0.001467513293520579,0.0005592997567046058,0.014673832000000001,-0.002317363499999999,0.006199342734027902,-0.006019274248644187,overPriced,overSupplied,overPriced-overSupplied
8,Akron - OH,2019,-0.00024739953058421944,0.6222657183234467,7,0.6451096762366743,-0.007453116430864682,0.006037060845747505,0.016178915,0.0004939859999999983,0.006255272709698362,-0.006149833826468614,overPriced,overSupplied,overPriced-overSupplied
9,Akron - OH,2020,-0.0006322841923143408,0.6239671749198751,6,0.6503381373009153,-0.010590988813631656,0.006667592721211279,0.026430456000000005,-0.022483989999999995,0.005362934537536452,-0.0054194207656171455,overPriced,overSupplied,overPriced-overSupplied
10,Akron - OH,2021,-0.00112253330398981,0.6245986102599306,5,0.670343905413863,-0.024126425904239728,0.019207948116461985,-0.032858008,0.003715955,0.005414309194272965,-0.005838616820534688,overPriced,overSupplied,overPriced-overSupplied
11,Akron - OH,2022,-0.0005374348121166159,0.6196795208401468,4,0.6491607646719365,-0.00887980078045669,0.010533156426850071,-0.004268086000000004,0.020331957499999997,0.007760326082517387,-0.008695092019321497,overPriced,overSupplied,overPriced-overSupplied
14,Albany - NY,2011,-0.0028176253431649242,0.9087541307161068,7,0.8367183562732252,0.000973341323121423,0.002735217078880879,-0.013395291,-0.007984075499999998,0.00871111306552789,-0.0034822063011950835,underPriced,overSupplied,underPriced-overSupplied
15,Albany - NY,2012,-0.002347091052264867,0.8952346091253491,8,0.8267609632682489,-0.01896666394573127,0.022977877435909292,0.000408907,-0.007645632500000001,0.007662926408493057,-0.0025565046955894617,underPriced,overSupplied,underPriced-overSupplied
16,Albany - NY,2013,0.00096897390305804,0.8895973917298566,8,0.8288330458829564,-0.013109850360410673,0.016744627482882517,-0.007551855,-0.009851338500000001,0.00932968130345704,-0.004595833137095733,underPriced,overSupplied,underPriced-overSupplied
17,Albany - NY,2014,7.83461917646044e-05,0.8769472192588161,7,0.8228131479797881,-0.013738655132427087,0.017291194381473085,0.023777357,-0.009410963500000001,0.01097440132632022,-0.006755434003866296,underPriced,overSupplied,underPriced-overSupplied
18,Albany - NY,2015,-0.0036921357956027872,0.8637670128114902,7,0.8430678531517591,-0.018460777791539703,0.021956654723411694,0.016391494,0.004713074499999999,0.01270352076446753,-0.008747719839545667,underPriced,overSupplied,underPriced-overSupplied
19,Albany - NY,2016,0.0032643716898730505,0.8482886012191152,6,0.8530548366046922,-0.03383484007449354,0.038180341186027617,-0.012394207,-0.0120813455,0.014869452355050434,-0.011099777259916222,overPriced,overSupplied,overPriced-overSupplied
20,Albany - NY,2017,0.002080345995936931,0.8520236351738749,5,0.8423019018416652,-0.037333732550172354,0.04192405897372539,-0.003967324000000001,-0.010909424000000001,0.016160857788986367,-0.012594989201332915,underPriced,overSupplied,underPriced-overSupplied
21,Albany - NY,2018,0.0016355032272368027,0.8480348864946885,6,0.8424611070902492,-0.01583852479084914,0.019051383399209487,0.011809339000000002,-0.005181856499999998,0.018401101328301403,-0.014744100412293123,underPriced,overSupplied,underPriced-overSupplied
22,Albany - NY,2019,0.007391380506668149,0.8408838481222289,6,0.8536299756263064,-0.013944213805888443,0.016911023194476765,0.01389545,-0.001789479,0.019206661489161732,-0.015599282624669992,overPriced,overSupplied,overPriced-overSupplied
23,Albany - NY,2020,-0.0014934740021130624,0.8394536330050056,5,0.862824855428937,-0.03062310239118085,0.03484247463574643,0.012620752999999998,-0.036293693,0.02003985747510418,-0.016459451957235336,overPriced,overSupplied,overPriced-overSupplied
24,Albany - NY,2021,0.0013493972802327363,0.8300218481191778,5,0.8732920602639315,-0.005545090309937012,0.009269668097967308,-0.028554773,0.008019190000000002,0.02326148524917432,-0.019487701951957166,overPriced,overSupplied,overPriced-overSupplied
25,Albany - NY,2022,0.001982277711233845,0.8431566019054878,4,0.8541589008841269,-0.019546967469487163,0.0193729800792448,-0.0009031209999999998,0.023696922500000002,0.023914930351082962,-0.02013954511526301,overPriced,overSupplied,overPriced-overSupplied
28,Albuquerque - NM,2011,0.010058258965233782,0.7534261563263474,8,0.7034357862474018,0.0034576042578346677,0.004436936478537846,-0.008650573000000002,-0.0032393574999999997,0.008260218739981765,0.011248343203022535,underPriced,underSupplied,underPriced-underSupplied
