rr_rent_growth_m2,rr_rent_growth_m1,rr_rent_growth_0,rr_rent_growth_p1,rr_rent_growth_p2,event,event_year,msa
-0.002560850232839605,0.008486017584800703,0.007498761173337684,0.00370527245104315,0.0002502007409930229,increase,2008,Albuquerque - NM
0.0020925081335008006,-0.009695813059806803,0.000987112522125199,-0.0011560376733541454,0.005709866061806651,increase,2007,Atlantic City - NJ
0.005709866061806651,0.008033911697566554,0.00014029769226910072,-0.014621509006246971,0.00516151450574405,increase,2011,Atlantic City - NJ
,-0.003961910959333199,0.0229606553912163,-0.0030187778174876993,-0.022045819554477916,increase,2006,Augusta - GA
-0.003961910959333199,0.0229606553912163,-0.0030187778174876993,-0.022045819554477916,-0.005172995850443854,increase,2007,Augusta - GA
-0.022045819554477916,-0.005172995850443854,0.004494240507483453,0.0012507024221122022,0.00047757849097249984,increase,2010,Augusta - GA
0.0177923850715161,0.015120368450879999,-0.0006048106588423252,-0.03005922026932245,0.0012951325625181233,increase,2008,Bakersfield - CA
-0.005983094219118367,0.025665931403636995,-0.0057205986231566,-0.025548488367348916,0.003418121486902251,increase,2007,Baton Rouge - LA
-0.014077693689614581,-0.007877227850258349,-0.0045919008553028,-0.006615366786718348,0.00222169049084185,increase,2014,Beaumont - TX
0.022636692970991197,0.0182003006339073,0.0009163110516965459,-0.03438077680766585,0.0005251439288258535,increase,2008,Bellingham - WA
0.0009163110516965459,-0.03438077680766585,0.0005251439288258535,-4.054279997950036e-05,0.0022228546440600985,increase,2010,Bellingham - WA
,-0.007284307386726158,-0.0191635359078645,-0.0082554966211319,0.006026852410286686,increase,2006,Bloomington - IL
-0.0189717262983322,-0.0060376990586519,0.005806103814393282,0.010305164381861652,-0.004641296342015266,increase,2008,Bloomington - IN
-0.0060376990586519,0.005806103814393282,0.010305164381861652,-0.004641296342015266,-0.0023571816273033896,increase,2009,Bloomington - IN
,0.0249039880000055,0.020073726773261996,0.018056783825159097,-0.0003289119340479374,increase,2006,Boise - ID
0.0249039880000055,0.020073726773261996,0.018056783825159097,-0.0003289119340479374,-0.03219406120479104,increase,2007,Boise - ID
0.020073726773261996,0.018056783825159097,-0.0003289119340479374,-0.03219406120479104,7.643504068255424e-05,increase,2008,Boise - ID
,0.0019901874475181,-0.0010115578770637026,0.014792095869779597,0.002390100155025686,increase,2006,Brownsville-Harlingen - TX
-0.0010115578770637026,0.014792095869779597,0.002390100155025686,-0.005337631329894052,-0.009245693450793627,increase,2008,Brownsville-Harlingen - TX
-0.005332258064299839,0.023659318685531595,-0.0080904811620712,-0.01892942702397702,-0.000394221395254149,increase,2007,Burlington - NC
,-0.0020630625076592003,0.0260772854089737,-0.0029316041618586003,-0.023690274450928014,increase,2006,Chattanooga - TN
,0.002048372756689801,0.0013644583523273954,0.008093819022178598,0.004566104616969782,increase,2006,College Station-Bryan - TX
-0.015748629346489903,0.0045744627714157,-0.004742465913295746,-0.0028530601412058466,0.005931396968662754,increase,2008,Colorado Springs - CO
-0.0012099514715374002,0.021502275019884096,-0.0103714969009161,-0.020104013849049814,-0.0032613109797239477,increase,2007,Daphne-Fairhope-Foley - AL
,-0.002169386018067602,0.020839378237724297,0.0001500826328993017,-0.024378819856792716,increase,2006,Daytona Beach - FL
0.020839378237724297,0.0001500826328993017,-0.024378819856792716,-0.007873317226767554,0.001673377119004723,increase,2008,Daytona Beach - FL
0.000762280076742174,-0.0016153394244611576,0.0005143545567988985,0.01725642196834095,-0.01079666521400213,increase,2012,Decatur - AL
0.0035876496694982017,-0.011070435866713503,0.0045162327587604,-0.0031929537653923035,0.0059356819838285516,increase,2007,Dover - DE
0.0045162327587604,-0.0031929537653923035,0.0059356819838285516,0.003522556275129353,0.0045741857029497,increase,2009,Dover - DE
-0.0026301620528102008,0.01154578290879725,0.0042819418013096515,0.01820826902985575,-0.004667980596423198,increase,2016,Elkhart - IN
,0.0227353661321103,0.023473523557186092,0.019196748733520497,0.0017684563063084836,increase,2006,Eugene - OR
,-0.003472005482763097,0.016991809010505697,-0.0041977874934673,-0.024895802605897216,increase,2006,Fort Myers - FL
-0.003472005482763097,0.016991809010505697,-0.0041977874934673,-0.024895802605897216,-0.009782375767827048,increase,2007,Fort Myers - FL
0.016991809010505697,-0.0041977874934673,-0.024895802605897216,-0.009782375767827048,-0.001719327643513676,increase,2008,Fort Myers - FL
-0.0041977874934673,-0.024895802605897216,-0.009782375767827048,-0.001719327643513676,0.0072187748737632985,increase,2009,Fort Myers - FL
,0.0243062539957464,0.012123633176088396,0.012017060071229903,0.0014834622852504253,increase,2006,Fresno - CA
,-0.003657735418528301,0.023251432925462695,-0.0040037073194981,-0.023115376476198414,increase,2006,Gainesville - FL
-0.003657735418528301,0.023251432925462695,-0.0040037073194981,-0.023115376476198414,-0.0006688106805086483,increase,2007,Gainesville - FL
-0.0006688106805086483,-0.00012583052739500653,-0.0014672609977424492,0.0029776040464638987,0.004915844649076552,increase,2011,Gainesville - FL
-0.0014672609977424492,0.0029776040464638987,0.004915844649076552,-0.007378712296485901,0.011651216074824354,increase,2013,Gainesville - FL
-0.018425683956593317,-0.00303213112056255,-0.0015204236842691864,0.0021594981662929023,-0.0007787421345710997,increase,2010,Gainesville - GA
-0.00303213112056255,-0.0015204236842691864,0.0021594981662929023,-0.0007787421345710997,-0.011425320990383578,increase,2011,Gainesville - GA
0.0028256918303668013,-0.01019380800426,-0.0022002141922712014,-0.0014339401386678254,0.00999682396650315,increase,2007,Glens Falls - NY
-0.01019380800426,-0.0022002141922712014,-0.0014339401386678254,0.00999682396650315,0.007062071934342353,increase,2008,Glens Falls - NY
-0.0022002141922712014,-0.0014339401386678254,0.00999682396650315,0.007062071934342353,-0.0005323956720531021,increase,2009,Glens Falls - NY
-0.0014339401386678254,0.00999682396650315,0.007062071934342353,-0.0005323956720531021,-0.003203758038580499,increase,2010,Glens Falls - NY
,-0.001488918904215101,0.0199721455574036,-0.0032641571015120004,-0.019717654678970617,increase,2006,Greenville - NC
-0.001488918904215101,0.0199721455574036,-0.0032641571015120004,-0.019717654678970617,0.0012940466403961494,increase,2007,Greenville - NC
-0.0032641571015120004,-0.019717654678970617,0.0012940466403961494,0.000986250583082434,-0.002283395733684329,increase,2009,Greenville - NC
0.0009155622683464995,0.002152133733034101,-0.005947845056652948,0.07996316161006689,-0.07544997520744795,increase,2013,Hanford-Corcoran - CA
-7.643504068255598e-05,0.00019873259589070144,0.0030669439584015985,-0.011618647724389988,-0.003096922300756,increase,2012,Hickory - NC
0.031347684562206296,-0.009218103310558945,-0.023185940459370655,0.03074179496616125,0.0014589228667318994,increase,2009,Honolulu - HI
0.003897292073816002,0.0223504155874253,-0.0008798781782388999,-0.02372899511829022,-0.004315709695220053,increase,2007,Huntsville - AL
,0.0300352736376226,0.007191594690084499,-0.0106331165879965,-0.03547514462843541,increase,2006,Inland Empire - CA
0.0300352736376226,0.007191594690084499,-0.0106331165879965,-0.03547514462843541,-0.014475459232926355,increase,2007,Inland Empire - CA
,-0.00551093788817527,-0.0187812373042106,-0.0053110867738724,0.005363741423934684,increase,2006,Iowa City - IA
0.005363741423934684,0.00801782123744485,-0.006045028974767774,-0.004835162777453689,-0.0013346048071980997,increase,2010,Iowa City - IA
-0.003542533610016097,0.0226672179996968,-0.0037619154900313014,-0.022822853643447112,-0.0009307730942964519,increase,2007,Jackson - MS
,-0.0023534023202956,0.024488806724548402,-0.0082654226571322,-0.02195879956707362,increase,2006,Jackson - TN
0.024488806724548402,-0.0082654226571322,-0.02195879956707362,0.0028076749294996504,0.00028959987685084343,increase,2008,Jackson - TN
,0.0158131676726043,0.006276827305555399,-0.0168012902140617,-0.03186849551275372,increase,2006,Jacksonville - FL
,-0.00585885392501952,-0.017877638339996303,-0.006698435172438601,0.005976599175482981,increase,2006,Janesville-Beloit - WI
,-0.006162527482956669,-0.020030684769153602,-0.008879711851477599,0.006453667301684583,increase,2006,Kalamazoo - MI
,-0.006863853428512829,-0.0190303940325975,-0.006034065037965799,0.006065891589969383,increase,2006,La Crosse-Onalaska - WI
-0.010205894242972136,0.0022816513665020015,-0.0037068743258715006,-0.0037319641560315496,-0.0007764818146824993,increase,2012,La Crosse-Onalaska - WI
-0.0006328504532575989,-0.03482569986954332,0.00585857219994065,0.0026808427646756137,-0.0031223781406879703,increase,2009,Lafayette - LA
,0.0017773113213478998,0.0214654989540577,-0.0035264734178781995,-0.023065977264195715,increase,2006,Lakeland - FL
0.0017773113213478998,0.0214654989540577,-0.0035264734178781995,-0.023065977264195715,-0.0022739265114069505,increase,2007,Lakeland - FL
0.0214654989540577,-0.0035264734178781995,-0.023065977264195715,-0.0022739265114069505,0.005320822820067454,increase,2008,Lakeland - FL
-0.0035264734178781995,-0.023065977264195715,-0.0022739265114069505,0.005320822820067454,0.0016732062213123018,increase,2009,Lakeland - FL
0.0037921103648841,-0.0008930116891861031,0.012364946305751797,0.003062929492443786,-0.006913317367434543,increase,2007,Las Cruces - NM
-0.03469645511358972,-0.01180205494165415,-0.0034420210868120506,-0.028333469294011628,-0.01689247600734235,increase,2017,Lewiston-Auburn - ME
-0.01180205494165415,-0.0034420210868120506,-0.028333469294011628,-0.01689247600734235,0.01425520889461045,increase,2018,Lewiston-Auburn - ME
,-0.005653485190123337,-0.019801406189799302,-0.007831541821360598,0.008369989227503583,increase,2006,Lincoln - NE
,-0.0037451791577040976,0.024213284254074104,-0.004205878823995601,-0.021275601815432317,increase,2006,Louisville - KY
0.0024005621671676983,0.013375464826822298,0.001247017178684473,-0.0011407267302274461,-0.006114859541412443,increase,2008,Lubbock - TX
-0.006813819985836762,-0.019363509491086003,-0.0073325298726559,0.005323978606611483,0.011251235380768752,increase,2007,Mansfield - OH
0.011251235380768752,-0.005506471614353357,-0.0034489477984607497,-0.003873066976666499,-0.004226423799991549,increase,2011,Mansfield - OH
0.004080075770616601,0.012007869780063598,0.0030685882084071844,-0.00449337624013425,-0.005980823480058461,increase,2008,McAllen - TX
0.012007869780063598,0.0030685882084071844,-0.00449337624013425,-0.005980823480058461,-0.002634363714605601,increase,2009,McAllen - TX
0.028772638645023104,0.0170703232288361,0.017629988491535197,-0.0003778976388275658,-0.029019558802247047,increase,2007,Medford - OR
,-0.002824327442795097,0.010376960039138801,-0.0042140986770391985,-0.024622975382953917,increase,2006,Melbourne - FL
-0.002824327442795097,0.010376960039138801,-0.0042140986770391985,-0.024622975382953917,-0.002228612080216446,increase,2007,Melbourne - FL
0.0242608203552663,0.0017804093658923964,0.003264401108026501,0.006953982170671183,-0.008048353716731044,increase,2007,Merced - CA
0.000987507402896895,0.011678431183099702,0.000418715644627813,0.002243028953671452,-0.0074254757491871715,increase,2008,Midland - TX
0.002243028953671452,-0.0074254757491871715,0.0025417921133339023,0.016576724126934998,0.007604025304317551,increase,2011,Midland - TX
0.007604025304317551,0.0173839731141925,-0.14635303802788274,-0.04355109669268124,0.20469874888658476,increase,2015,Midland - TX
-0.0059492066502571,-0.022328733932226917,0.0002484563738107508,-0.0009354185312986374,-0.0002899528481067025,increase,2009,Mobile - AL
-0.0029323846101761003,0.0032723806798457995,-0.004214297980070114,-0.022211303934454946,-0.00038501620292663574,increase,2008,Modesto - CA
,-0.004935347009450201,-0.018814831972122203,-0.008895443752408,0.0037224548868834834,increase,2006,Monroe - MI
-0.008895443752408,0.0037224548868834834,0.009281346574425652,-0.006596067811187822,-0.0031367065384984294,increase,2009,Monroe - MI
,-0.004011985380202501,0.022691432386636796,-0.006024722009897201,-0.02389369392767552,increase,2006,Montgomery - AL
-0.003875576425343797,-0.0194307621568441,-0.006980944424867599,0.005680002737790384,0.00914789922535415,increase,2007,Muskegon - MI
0.025715758558362698,0.002494990825653097,0.0183863788843155,0.006029386539012183,-0.015737673267722144,increase,2007,Napa - CA
0.002494990825653097,0.0183863788843155,0.006029386539012183,-0.015737673267722144,0.004686499014496753,increase,2008,Napa - CA
0.006029386539012183,-0.015737673267722144,0.004686499014496753,0.0114358183927834,0.0068693608045577986,increase,2010,Napa - CA
,-0.0032630297355354006,0.0197213664650917,-0.006091190502047501,-0.029510019812732914,increase,2006,Naples - FL
-0.0032630297355354006,0.0197213664650917,-0.006091190502047501,-0.029510019812732914,-0.0024238023906946495,increase,2007,Naples - FL
-0.019492693245410902,-0.0061845574527979,0.006464791018515784,0.011049160733818952,-0.004651801893487576,increase,2008,Niles-Benton Harbor - MI
