year,msa,exog_shock
2000,Akron - OH,0
2001,Akron - OH,0
2002,Akron - OH,0
2003,Akron - OH,0
2004,Akron - OH,0
2005,Akron - OH,0
2006,Akron - OH,0
2007,Akron - OH,0
2008,Akron - OH,0
2009,Akron - OH,0
2010,Akron - OH,0
2011,Akron - OH,0
2012,Akron - OH,0
2013,Akron - OH,0
2014,Akron - OH,0
2015,Akron - OH,0
2016,Akron - OH,0
2017,Akron - OH,0
2018,Akron - OH,0
2019,Akron - OH,0
2020,Akron - OH,0
2021,Akron - OH,0
2022,Akron - OH,0
2023,Akron - OH,0
2024,Akron - OH,0
2000,Albany - NY,0
2001,Albany - NY,0
2002,Albany - NY,0
2003,Albany - NY,0
2004,Albany - NY,0
2005,Albany - NY,0
2006,Albany - NY,0
2007,Albany - NY,0
2008,Albany - NY,0
2009,Albany - NY,0
2010,Albany - NY,0
2011,Albany - NY,0
2012,Albany - NY,0
2013,Albany - NY,0
2014,Albany - NY,0
2015,Albany - NY,0
2016,Albany - NY,0
2017,Albany - NY,0
2018,Albany - NY,0
2019,Albany - NY,0
2020,Albany - NY,0
2021,Albany - NY,0
2022,Albany - NY,0
2023,Albany - NY,0
2024,Albany - NY,0
2000,Albuquerque - NM,0
2001,Albuquerque - NM,0
2002,Albuquerque - NM,0
2003,Albuquerque - NM,0
2004,Albuquerque - NM,0
2005,Albuquerque - NM,0
2006,Albuquerque - NM,0
2007,Albuquerque - NM,0
2008,Albuquerque - NM,0
2009,Albuquerque - NM,0
2010,Albuquerque - NM,0
2011,Albuquerque - NM,0
2012,Albuquerque - NM,0
2013,Albuquerque - NM,0
2014,Albuquerque - NM,0
2015,Albuquerque - NM,0
2016,Albuquerque - NM,0
2017,Albuquerque - NM,0
2018,Albuquerque - NM,0
2019,Albuquerque - NM,0
2020,Albuquerque - NM,0
2021,Albuquerque - NM,0
2022,Albuquerque - NM,0
2023,Albuquerque - NM,0
2024,Albuquerque - NM,0
2000,Ann Arbor - MI,0
2001,Ann Arbor - MI,0
2002,Ann Arbor - MI,0
2003,Ann Arbor - MI,0
2004,Ann Arbor - MI,0
2005,Ann Arbor - MI,0
2006,Ann Arbor - MI,0
2007,Ann Arbor - MI,0
2008,Ann Arbor - MI,0
2009,Ann Arbor - MI,0
2010,Ann Arbor - MI,0
2011,Ann Arbor - MI,0
2012,Ann Arbor - MI,0
2013,Ann Arbor - MI,0
2014,Ann Arbor - MI,0
2015,Ann Arbor - MI,0
2016,Ann Arbor - MI,0
2017,Ann Arbor - MI,0
2018,Ann Arbor - MI,0
2019,Ann Arbor - MI,0
2020,Ann Arbor - MI,0
2021,Ann Arbor - MI,0
2022,Ann Arbor - MI,0
2023,Ann Arbor - MI,0
2024,Ann Arbor - MI,0
2000,Atlanta - GA,0
2001,Atlanta - GA,0
2002,Atlanta - GA,0
2003,Atlanta - GA,0
2004,Atlanta - GA,0
2005,Atlanta - GA,0
2006,Atlanta - GA,0
2007,Atlanta - GA,0
2008,Atlanta - GA,0
2009,Atlanta - GA,0
2010,Atlanta - GA,0
2011,Atlanta - GA,0
2012,Atlanta - GA,0
2013,Atlanta - GA,0
2014,Atlanta - GA,0
2015,Atlanta - GA,0
2016,Atlanta - GA,0
2017,Atlanta - GA,0
2018,Atlanta - GA,0
2019,Atlanta - GA,0
2020,Atlanta - GA,0
2021,Atlanta - GA,0
2022,Atlanta - GA,0
2023,Atlanta - GA,0
2024,Atlanta - GA,0
2000,Austin - TX,0
2001,Austin - TX,0
2002,Austin - TX,0
2003,Austin - TX,0
2004,Austin - TX,0
2005,Austin - TX,0
2006,Austin - TX,0
2007,Austin - TX,0
2008,Austin - TX,0
2009,Austin - TX,0
2010,Austin - TX,0
2011,Austin - TX,0
2012,Austin - TX,0
2013,Austin - TX,0
2014,Austin - TX,0
2015,Austin - TX,0
2016,Austin - TX,0
2017,Austin - TX,0
2018,Austin - TX,0
2019,Austin - TX,0
2020,Austin - TX,0
2021,Austin - TX,0
2022,Austin - TX,0
2023,Austin - TX,0
2024,Austin - TX,0
2000,Bakersfield - CA,0
2001,Bakersfield - CA,0
2002,Bakersfield - CA,0
2003,Bakersfield - CA,0
2004,Bakersfield - CA,0
2005,Bakersfield - CA,0
2006,Bakersfield - CA,0
2007,Bakersfield - CA,0
2008,Bakersfield - CA,0
2009,Bakersfield - CA,0
2010,Bakersfield - CA,0
2011,Bakersfield - CA,0
2012,Bakersfield - CA,0
2013,Bakersfield - CA,0
2014,Bakersfield - CA,0
2015,Bakersfield - CA,0
2016,Bakersfield - CA,0
2017,Bakersfield - CA,0
2018,Bakersfield - CA,0
2019,Bakersfield - CA,0
2020,Bakersfield - CA,0
2021,Bakersfield - CA,0
2022,Bakersfield - CA,0
2023,Bakersfield - CA,0
2024,Bakersfield - CA,0
2000,Baltimore - MD,0
2001,Baltimore - MD,0
2002,Baltimore - MD,0
2003,Baltimore - MD,0
2004,Baltimore - MD,0
2005,Baltimore - MD,0
2006,Baltimore - MD,0
2007,Baltimore - MD,0
2008,Baltimore - MD,0
2009,Baltimore - MD,0
2010,Baltimore - MD,0
2011,Baltimore - MD,0
2012,Baltimore - MD,0
2013,Baltimore - MD,0
2014,Baltimore - MD,0
2015,Baltimore - MD,0
2016,Baltimore - MD,0
2017,Baltimore - MD,0
2018,Baltimore - MD,0
2019,Baltimore - MD,0
2020,Baltimore - MD,0
2021,Baltimore - MD,0
2022,Baltimore - MD,0
2023,Baltimore - MD,0
2024,Baltimore - MD,0
2000,Baton Rouge - LA,0
2001,Baton Rouge - LA,0
2002,Baton Rouge - LA,0
2003,Baton Rouge - LA,0
2004,Baton Rouge - LA,0
2005,Baton Rouge - LA,0
2006,Baton Rouge - LA,0
2007,Baton Rouge - LA,0
2008,Baton Rouge - LA,0
2009,Baton Rouge - LA,0
2010,Baton Rouge - LA,0
2011,Baton Rouge - LA,0
2012,Baton Rouge - LA,0
2013,Baton Rouge - LA,0
2014,Baton Rouge - LA,0
2015,Baton Rouge - LA,0
2016,Baton Rouge - LA,0
2017,Baton Rouge - LA,0
2018,Baton Rouge - LA,0
2019,Baton Rouge - LA,0
2020,Baton Rouge - LA,0
2021,Baton Rouge - LA,0
2022,Baton Rouge - LA,0
2023,Baton Rouge - LA,0
2024,Baton Rouge - LA,0
2000,Birmingham - AL,0
2001,Birmingham - AL,0
2002,Birmingham - AL,0
2003,Birmingham - AL,0
2004,Birmingham - AL,0
2005,Birmingham - AL,0
2006,Birmingham - AL,0
2007,Birmingham - AL,0
2008,Birmingham - AL,0
2009,Birmingham - AL,0
2010,Birmingham - AL,0
2011,Birmingham - AL,0
2012,Birmingham - AL,0
2013,Birmingham - AL,0
2014,Birmingham - AL,0
2015,Birmingham - AL,0
2016,Birmingham - AL,0
2017,Birmingham - AL,0
2018,Birmingham - AL,0
2019,Birmingham - AL,0
2020,Birmingham - AL,0
2021,Birmingham - AL,0
2022,Birmingham - AL,0
2023,Birmingham - AL,0
2024,Birmingham - AL,0
2000,Boston - MA,0
2001,Boston - MA,0
2002,Boston - MA,0
2003,Boston - MA,0
2004,Boston - MA,0
2005,Boston - MA,0
2006,Boston - MA,0
2007,Boston - MA,0
2008,Boston - MA,0
2009,Boston - MA,0
2010,Boston - MA,0
2011,Boston - MA,0
2012,Boston - MA,0
2013,Boston - MA,0
2014,Boston - MA,0
2015,Boston - MA,0
2016,Boston - MA,0
2017,Boston - MA,0
2018,Boston - MA,0
2019,Boston - MA,0
2020,Boston - MA,0
2021,Boston - MA,0
2022,Boston - MA,0
2023,Boston - MA,0
2024,Boston - MA,0
2000,Buffalo - NY,0
2001,Buffalo - NY,0
2002,Buffalo - NY,0
2003,Buffalo - NY,0
2004,Buffalo - NY,0
2005,Buffalo - NY,0
2006,Buffalo - NY,0
2007,Buffalo - NY,0
2008,Buffalo - NY,0
2009,Buffalo - NY,0
2010,Buffalo - NY,0
2011,Buffalo - NY,0
2012,Buffalo - NY,0
2013,Buffalo - NY,0
2014,Buffalo - NY,0
2015,Buffalo - NY,0
2016,Buffalo - NY,0
2017,Buffalo - NY,0
2018,Buffalo - NY,0
2019,Buffalo - NY,0
2020,Buffalo - NY,0
2021,Buffalo - NY,0
2022,Buffalo - NY,0
2023,Buffalo - NY,0
2024,Buffalo - NY,0
2000,Charleston - SC,0
2001,Charleston - SC,0
2002,Charleston - SC,0
2003,Charleston - SC,0
2004,Charleston - SC,0
2005,Charleston - SC,0
2006,Charleston - SC,0
2007,Charleston - SC,0
2008,Charleston - SC,0
2009,Charleston - SC,0
2010,Charleston - SC,0
2011,Charleston - SC,0
2012,Charleston - SC,0
2013,Charleston - SC,0
2014,Charleston - SC,0
2015,Charleston - SC,0
2016,Charleston - SC,0
2017,Charleston - SC,0
2018,Charleston - SC,0
2019,Charleston - SC,0
2020,Charleston - SC,0
2021,Charleston - SC,0
2022,Charleston - SC,0
2023,Charleston - SC,0
2024,Charleston - SC,0
2000,Charlotte - NC,0
2001,Charlotte - NC,0
2002,Charlotte - NC,0
2003,Charlotte - NC,0
2004,Charlotte - NC,0
2005,Charlotte - NC,0
2006,Charlotte - NC,0
2007,Charlotte - NC,0
2008,Charlotte - NC,0
2009,Charlotte - NC,0
2010,Charlotte - NC,0
2011,Charlotte - NC,0
2012,Charlotte - NC,0
2013,Charlotte - NC,0
2014,Charlotte - NC,0
2015,Charlotte - NC,0
2016,Charlotte - NC,0
2017,Charlotte - NC,0
2018,Charlotte - NC,0
2019,Charlotte - NC,0
2020,Charlotte - NC,0
2021,Charlotte - NC,0
2022,Charlotte - NC,0
2023,Charlotte - NC,0
2024,Charlotte - NC,0
2000,Chicago - IL,0
2001,Chicago - IL,0
2002,Chicago - IL,0
2003,Chicago - IL,0
2004,Chicago - IL,0
2005,Chicago - IL,0
2006,Chicago - IL,0
2007,Chicago - IL,0
2008,Chicago - IL,0
2009,Chicago - IL,0
2010,Chicago - IL,0
2011,Chicago - IL,0
2012,Chicago - IL,0
2013,Chicago - IL,0
2014,Chicago - IL,0
2015,Chicago - IL,0
2016,Chicago - IL,1
2017,Chicago - IL,1
2018,Chicago - IL,1
2019,Chicago - IL,0
2020,Chicago - IL,0
2021,Chicago - IL,0
2022,Chicago - IL,0
2023,Chicago - IL,0
2024,Chicago - IL,0
2000,Cincinnati - OH,0
2001,Cincinnati - OH,0
2002,Cincinnati - OH,0
2003,Cincinnati - OH,0
2004,Cincinnati - OH,0
2005,Cincinnati - OH,0
2006,Cincinnati - OH,0
2007,Cincinnati - OH,0
2008,Cincinnati - OH,0
2009,Cincinnati - OH,0
2010,Cincinnati - OH,0
2011,Cincinnati - OH,0
2012,Cincinnati - OH,0
2013,Cincinnati - OH,0
2014,Cincinnati - OH,0
2015,Cincinnati - OH,0
2016,Cincinnati - OH,0
2017,Cincinnati - OH,0
2018,Cincinnati - OH,0
2019,Cincinnati - OH,0
2020,Cincinnati - OH,0
2021,Cincinnati - OH,0
2022,Cincinnati - OH,0
2023,Cincinnati - OH,0
2024,Cincinnati - OH,0
2000,Cleveland - OH,0
2001,Cleveland - OH,0
2002,Cleveland - OH,0
2003,Cleveland - OH,0
2004,Cleveland - OH,0
2005,Cleveland - OH,0
2006,Cleveland - OH,0
2007,Cleveland - OH,0
2008,Cleveland - OH,0
2009,Cleveland - OH,0
2010,Cleveland - OH,0
2011,Cleveland - OH,0
2012,Cleveland - OH,0
2013,Cleveland - OH,0
2014,Cleveland - OH,0
2015,Cleveland - OH,0
2016,Cleveland - OH,0
2017,Cleveland - OH,0
2018,Cleveland - OH,0
2019,Cleveland - OH,0
2020,Cleveland - OH,0
2021,Cleveland - OH,0
2022,Cleveland - OH,0
2023,Cleveland - OH,0
2024,Cleveland - OH,0
