Period,Geography Name,Market Effective Rent/SF,Occupancy Rate,Inventory Units,Net Delivered Units 12 Mo,Population,Market Effective Rent Growth 12 Mo,Demand Units,Absorption %
2000,Abilene - TX,0.69,0.954172492,6668,0,160097.7031,,6362.421875,0
2001,Abilene - TX,0.71,0.946050048,6668,0,159061.5938,0.029787434,6308.261719,-0.003149
2002,Abilene - TX,0.71,0.927676678,6668,0,159118.8125,0.000276231,6185.748047,-0.003599
2003,Abilene - TX,0.7,0.919726133,6668,0,159309.4063,-0.010683109,6132.733887,-0.001499
2004,Abilene - TX,0.7,0.920132458,6668,0,160443.6875,-0.002821817,6135.443359,0.001649
2005,Abilene - TX,0.71,0.926153898,6668,0,161046.9063,0.018701201,6175.594238,0.002999
2006,Abilene - TX,0.74,0.939947665,6812,144,161688.0938,0.040714279,6402.923828,0.001027
2007,Abilene - TX,0.77,0.936945558,6880,68,162298.7031,0.041591372,6446.185059,-0.001453
2008,Abilene - TX,0.79,0.929254651,7136,256,162999.6094,0.015539444,6631.161621,-0.004484
2009,Abilene - TX,0.77,0.909077883,7345,209,164465.6094,-0.025869951,6677.176758,-0.000272
2010,Abilene - TX,0.77,0.916275561,7345,0,166092,0.00610204,6730.043945,0.001225
2011,Abilene - TX,0.78,0.918162584,7345,0,167507.2031,0.012193455,6743.904297,0.000272
2012,Abilene - TX,0.8,0.920193493,7345,0,168567.7969,0.026106296,6758.821289,-0.000408
2013,Abilene - TX,0.81,0.907413125,7345,0,169183.5938,0.016117068,6664.949707,-0.007215
2014,Abilene - TX,0.84,0.9013623,7429,84,170591,0.031900939,6696.220215,0.002961
2015,Abilene - TX,0.87,0.916164875,7429,0,172026.2031,0.034876321,6806.188477,0.002961
2016,Abilene - TX,0.85,0.885771751,7436,7,172681,-0.019073555,6586.598633,-0.011565
2017,Abilene - TX,0.87,0.894978881,7436,0,173429.0938,0.02671583,6655.062988,0
2018,Abilene - TX,0.91,0.91497606,7436,0,174495.7031,0.040108178,6803.762207,0.009548
2019,Abilene - TX,0.96,0.92158699,7436,0,175765.3906,0.052167099,6852.920898,-0.003765
2020,Abilene - TX,0.98,0.910964072,7436,0,177104.5,0.028736116,6773.929199,-0.008203
2021,Abilene - TX,1.03,0.935067713,7613,177,178236.0938,0.049627472,7118.67041,0.011033
2022,Abilene - TX,1.1,0.93396467,7882,269,180195.0938,0.061644975,7361.509766,-0.006597
2023,Abilene - TX,1.13,0.879536092,8403,521,181963,0.031214593,7390.742188,0.012733
2024,Abilene - TX,1.15,0.899592161,8467,64,183054.7031,0.019288924,7616.84668,0.001771
2000,Akron - OH,0.77,0.924363792,30378,88,697150.0625,,28080.32422,-0.000757
2001,Akron - OH,0.79,0.907771766,30989,611,698995.1875,0.022872245,28130.93945,0.004872
2002,Akron - OH,0.8,0.902674854,32030,1041,700627.3125,0.004639593,28912.67578,0.005931
2003,Akron - OH,0.79,0.909883857,32036,6,702024.75,-0.001313344,29149.03906,0.002965
2004,Akron - OH,0.79,0.920280695,32584,548,702580.1875,-0.00077558,29986.42578,0.003498
2005,Akron - OH,0.8,0.931375206,32638,54,703044.5,0.010059354,30398.22461,0.00337
2006,Akron - OH,0.82,0.942289174,32722,84,703292.125,0.019433787,30833.58594,0.003269
2007,Akron - OH,0.83,0.945741177,33622,900,704062.1875,0.020812081,31797.71094,0.001159
2008,Akron - OH,0.85,0.941994965,33622,0,703948.1875,0.013986194,31671.75586,-0.002319
2009,Akron - OH,0.83,0.935800314,34125,503,703935.8125,-0.022002192,31934.18555,0.000761
2010,Akron - OH,0.83,0.937359869,34335,210,703735.5,0.001968797,32184.25195,0.003291
2011,Akron - OH,0.84,0.943780243,34189,-146,703853.1875,0.010627881,32266.90234,0.001316
2012,Akron - OH,0.85,0.947341859,34308,119,703743.75,0.009024122,32501.4043,-0.000612
