cbsatitle,series_name,value,year,costar_msa
"Worcester, MA",ESTIMATESBASE,862104.00,2020,Worcester - MA USA
"Worcester, MA",POPESTIMATE,857092.00,2020,Worcester - MA USA
"Worcester, MA",POPESTIMATE,862052.00,2021,Worcester - MA USA
"Worcester, MA",POPESTIMATE,865735.00,2022,Worcester - MA USA
"Worcester, MA",POPESTIMATE,872813.00,2023,Worcester - MA USA
"Worcester, MA",POPESTIMATE,881248.00,2024,Worcester - MA USA
"Worcester, MA",NPOPCHG,-5012.00,2020,Worcester - MA USA
"Worcester, MA",NPOPCHG,4960.00,2021,Worcester - MA USA
"Worcester, MA",NPOPCHG,3683.00,2022,Worcester - MA USA
"Worcester, MA",NPOPCHG,7078.00,2023,Worcester - MA USA
"Worcester, MA",NPOPCHG,8435.00,2024,Worcester - MA USA
"Worcester, MA",BIRTHS,2116.00,2020,Worcester - MA USA
"Worcester, MA",BIRTHS,8262.00,2021,Worcester - MA USA
"Worcester, MA",BIRTHS,8621.00,2022,Worcester - MA USA
"Worcester, MA",BIRTHS,8429.00,2023,Worcester - MA USA
"Worcester, MA",BIRTHS,8460.00,2024,Worcester - MA USA
"Worcester, MA",DEATHS,2662.00,2020,Worcester - MA USA
"Worcester, MA",DEATHS,7459.00,2021,Worcester - MA USA
"Worcester, MA",DEATHS,8051.00,2022,Worcester - MA USA
"Worcester, MA",DEATHS,7778.00,2023,Worcester - MA USA
"Worcester, MA",DEATHS,7722.00,2024,Worcester - MA USA
"Worcester, MA",NATURALCHG,-546.00,2020,Worcester - MA USA
"Worcester, MA",NATURALCHG,803.00,2021,Worcester - MA USA
"Worcester, MA",NATURALCHG,570.00,2022,Worcester - MA USA
"Worcester, MA",NATURALCHG,651.00,2023,Worcester - MA USA
"Worcester, MA",NATURALCHG,738.00,2024,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,98.00,2020,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,1542.00,2021,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,7024.00,2022,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,7868.00,2023,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,9470.00,2024,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-3857.00,2020,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,2109.00,2021,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-3569.00,2022,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1283.00,2023,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1804.00,2024,Worcester - MA USA
"Worcester, MA",NETMIG,-3759.00,2020,Worcester - MA USA
"Worcester, MA",NETMIG,3651.00,2021,Worcester - MA USA
"Worcester, MA",NETMIG,3455.00,2022,Worcester - MA USA
"Worcester, MA",NETMIG,6585.00,2023,Worcester - MA USA
"Worcester, MA",NETMIG,7666.00,2024,Worcester - MA USA
"Worcester, MA",GQESTIMATESBASE,28169.00,2020,Worcester - MA USA
"Worcester, MA",GQESTIMATES,23928.00,2020,Worcester - MA USA
"Worcester, MA",GQESTIMATES,25863.00,2021,Worcester - MA USA
"Worcester, MA",GQESTIMATES,26743.00,2022,Worcester - MA USA
"Worcester, MA",GQESTIMATES,27971.00,2023,Worcester - MA USA
"Worcester, MA",GQESTIMATES,28209.00,2024,Worcester - MA USA
"Worcester, MA",ESTIMATESBASE,798385.00,2010,Worcester - MA USA
"Worcester, MA",POPESTIMATE,800404.00,2010,Worcester - MA USA
"Worcester, MA",POPESTIMATE,804107.00,2011,Worcester - MA USA
"Worcester, MA",POPESTIMATE,807047.00,2012,Worcester - MA USA
"Worcester, MA",POPESTIMATE,810994.00,2013,Worcester - MA USA
"Worcester, MA",POPESTIMATE,815707.00,2014,Worcester - MA USA
"Worcester, MA",POPESTIMATE,818446.00,2015,Worcester - MA USA
"Worcester, MA",POPESTIMATE,820447.00,2016,Worcester - MA USA
"Worcester, MA",POPESTIMATE,825646.00,2017,Worcester - MA USA
"Worcester, MA",POPESTIMATE,828644.00,2018,Worcester - MA USA
"Worcester, MA",POPESTIMATE,829327.00,2019,Worcester - MA USA
"Worcester, MA",NPOPCHG_,2019.00,2010,Worcester - MA USA
"Worcester, MA",NPOPCHG_,3703.00,2011,Worcester - MA USA
"Worcester, MA",NPOPCHG_,2940.00,2012,Worcester - MA USA
"Worcester, MA",NPOPCHG_,3947.00,2013,Worcester - MA USA
"Worcester, MA",NPOPCHG_,4713.00,2014,Worcester - MA USA
"Worcester, MA",NPOPCHG_,2739.00,2015,Worcester - MA USA
"Worcester, MA",NPOPCHG_,2001.00,2016,Worcester - MA USA
"Worcester, MA",NPOPCHG_,5199.00,2017,Worcester - MA USA
"Worcester, MA",NPOPCHG_,2998.00,2018,Worcester - MA USA
"Worcester, MA",NPOPCHG_,683.00,2019,Worcester - MA USA
"Worcester, MA",NPOPCHG_,-115.00,2020,Worcester - MA USA
"Worcester, MA",BIRTHS,2263.00,2010,Worcester - MA USA
"Worcester, MA",BIRTHS,8805.00,2011,Worcester - MA USA
"Worcester, MA",BIRTHS,8714.00,2012,Worcester - MA USA
"Worcester, MA",BIRTHS,8582.00,2013,Worcester - MA USA
"Worcester, MA",BIRTHS,8713.00,2014,Worcester - MA USA
"Worcester, MA",BIRTHS,8450.00,2015,Worcester - MA USA
"Worcester, MA",BIRTHS,8687.00,2016,Worcester - MA USA
"Worcester, MA",BIRTHS,8585.00,2017,Worcester - MA USA
"Worcester, MA",BIRTHS,8560.00,2018,Worcester - MA USA
"Worcester, MA",BIRTHS,8257.00,2019,Worcester - MA USA
"Worcester, MA",DEATHS,1484.00,2010,Worcester - MA USA
"Worcester, MA",DEATHS,6599.00,2011,Worcester - MA USA
"Worcester, MA",DEATHS,6492.00,2012,Worcester - MA USA
"Worcester, MA",DEATHS,6780.00,2013,Worcester - MA USA
"Worcester, MA",DEATHS,6725.00,2014,Worcester - MA USA
"Worcester, MA",DEATHS,7213.00,2015,Worcester - MA USA
"Worcester, MA",DEATHS,7022.00,2016,Worcester - MA USA
"Worcester, MA",DEATHS,7256.00,2017,Worcester - MA USA
"Worcester, MA",DEATHS,7532.00,2018,Worcester - MA USA
"Worcester, MA",DEATHS,7441.00,2019,Worcester - MA USA
"Worcester, MA",NATURALCHG,779.00,2010,Worcester - MA USA
"Worcester, MA",NATURALCHG,2206.00,2011,Worcester - MA USA
"Worcester, MA",NATURALCHG,2222.00,2012,Worcester - MA USA
"Worcester, MA",NATURALCHG,1802.00,2013,Worcester - MA USA
"Worcester, MA",NATURALCHG,1988.00,2014,Worcester - MA USA
"Worcester, MA",NATURALCHG,1237.00,2015,Worcester - MA USA
"Worcester, MA",NATURALCHG,1665.00,2016,Worcester - MA USA
"Worcester, MA",NATURALCHG,1329.00,2017,Worcester - MA USA
"Worcester, MA",NATURALCHG,1028.00,2018,Worcester - MA USA
"Worcester, MA",NATURALCHG,816.00,2019,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,788.00,2010,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3151.00,2011,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3581.00,2012,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3384.00,2013,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,4153.00,2014,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3728.00,2015,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3898.00,2016,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,4414.00,2017,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,3899.00,2018,Worcester - MA USA
"Worcester, MA",INTERNATIONALMIG,2142.00,2019,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,487.00,2010,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1636.00,2011,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-2805.00,2012,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1149.00,2013,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1288.00,2014,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-2174.00,2015,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-3557.00,2016,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-510.00,2017,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-1922.00,2018,Worcester - MA USA
"Worcester, MA",DOMESTICMIG,-2300.00,2019,Worcester - MA USA
"Worcester, MA",NETMIG,1275.00,2010,Worcester - MA USA
"Worcester, MA",NETMIG,1515.00,2011,Worcester - MA USA
"Worcester, MA",NETMIG,776.00,2012,Worcester - MA USA
"Worcester, MA",NETMIG,2235.00,2013,Worcester - MA USA
"Worcester, MA",NETMIG,2865.00,2014,Worcester - MA USA
"Worcester, MA",NETMIG,1554.00,2015,Worcester - MA USA
