County,County Code,Year,Year Code,Births
"Calhoun County, AL",1015,1995,1995,1520
"Calhoun County, AL",1015,1996,1996,1632
"Calhoun County, AL",1015,1997,1997,1588
"Calhoun County, AL",1015,1998,1998,1657
"Calhoun County, AL",1015,1999,1999,1586
"Calhoun County, AL",1015,2000,2000,1528
"Calhoun County, AL",1015,2001,2001,1550
"Calhoun County, AL",1015,2002,2002,1455
"Jefferson County, AL",1073,1995,1995,9372
"Jefferson County, AL",1073,1996,1996,9005
"Jefferson County, AL",1073,1997,1997,9351
"Jefferson County, AL",1073,1998,1998,9371
"Jefferson County, AL",1073,1999,1999,9410
"Jefferson County, AL",1073,2000,2000,9567
"Jefferson County, AL",1073,2001,2001,9141
"Jefferson County, AL",1073,2002,2002,8928
"Madison County, AL",1089,1995,1995,3846
"Madison County, AL",1089,1996,1996,3799
"Madison County, AL",1089,1997,1997,3914
"Madison County, AL",1089,1998,1998,3794
"Madison County, AL",1089,1999,1999,3823
"Madison County, AL",1089,2000,2000,3757
"Madison County, AL",1089,2001,2001,3611
"Madison County, AL",1089,2002,2002,3523
"Mobile County, AL",1097,1995,1995,6093
"Mobile County, AL",1097,1996,1996,6235
"Mobile County, AL",1097,1997,1997,6219
"Mobile County, AL",1097,1998,1998,6402
"Mobile County, AL",1097,1999,1999,6223
"Mobile County, AL",1097,2000,2000,6359
"Mobile County, AL",1097,2001,2001,5887
"Mobile County, AL",1097,2002,2002,5830
"Montgomery County, AL",1101,1995,1995,3514
"Montgomery County, AL",1101,1996,1996,3527
"Montgomery County, AL",1101,1997,1997,3424
"Montgomery County, AL",1101,1998,1998,3507
"Montgomery County, AL",1101,1999,1999,3485
"Montgomery County, AL",1101,2000,2000,3656
"Montgomery County, AL",1101,2001,2001,3417
"Montgomery County, AL",1101,2002,2002,3337
"Morgan County, AL",1103,1995,1995,1438
"Morgan County, AL",1103,1996,1996,1377
"Morgan County, AL",1103,1997,1997,1487
"Morgan County, AL",1103,1998,1998,1541
"Morgan County, AL",1103,1999,1999,1572
"Morgan County, AL",1103,2000,2000,1585
"Morgan County, AL",1103,2001,2001,1454
"Morgan County, AL",1103,2002,2002,1504
"St. Clair County, AL",1115,1995,1995,20
"Tuscaloosa County, AL",1125,1995,1995,2153
"Tuscaloosa County, AL",1125,1996,1996,2160
"Tuscaloosa County, AL",1125,1997,1997,2124
"Tuscaloosa County, AL",1125,1998,1998,2241
"Tuscaloosa County, AL",1125,1999,1999,2294
"Tuscaloosa County, AL",1125,2000,2000,2331
"Tuscaloosa County, AL",1125,2001,2001,2231
"Tuscaloosa County, AL",1125,2002,2002,2146
"Unidentified Counties, AL",1999,1995,1995,32370
"Unidentified Counties, AL",1999,1996,1996,32753
"Unidentified Counties, AL",1999,1997,1997,32807
"Unidentified Counties, AL",1999,1998,1998,33561
"Unidentified Counties, AL",1999,1999,1999,33729
"Unidentified Counties, AL",1999,2000,2000,34516
"Unidentified Counties, AL",1999,2001,2001,33163
"Unidentified Counties, AL",1999,2002,2002,32244
"Anchorage Borough, AK",2020,1995,1995,4453
"Anchorage Borough, AK",2020,1996,1996,4125
"Anchorage Borough, AK",2020,1997,1997,4167
"Anchorage Borough, AK",2020,1998,1998,4190
"Anchorage Borough, AK",2020,1999,1999,4273
"Anchorage Borough, AK",2020,2000,2000,4122
"Anchorage Borough, AK",2020,2001,2001,4185
"Anchorage Borough, AK",2020,2002,2002,4152
"Unidentified Counties, AK",2999,1995,1995,5791
"Unidentified Counties, AK",2999,1996,1996,5912
"Unidentified Counties, AK",2999,1997,1997,5780
"Unidentified Counties, AK",2999,1998,1998,5736
"Unidentified Counties, AK",2999,1999,1999,5677
"Unidentified Counties, AK",2999,2000,2000,5852
"Unidentified Counties, AK",2999,2001,2001,5818
"Unidentified Counties, AK",2999,2002,2002,5786
"Maricopa County, AZ",4013,1995,1995,44053
"Maricopa County, AZ",4013,1996,1996,46549
"Maricopa County, AZ",4013,1997,1997,47135
"Maricopa County, AZ",4013,1998,1998,49357
"Maricopa County, AZ",4013,1999,1999,51569
"Maricopa County, AZ",4013,2000,2000,54506
"Maricopa County, AZ",4013,2001,2001,55675
"Maricopa County, AZ",4013,2002,2002,56697
"Pima County, AZ",4019,1995,1995,11204
"Pima County, AZ",4019,1996,1996,11294
"Pima County, AZ",4019,1997,1997,11377
"Pima County, AZ",4019,1998,1998,11460
"Pima County, AZ",4019,1999,1999,11890
"Pima County, AZ",4019,2000,2000,12516
"Pima County, AZ",4019,2001,2001,12147
"Pima County, AZ",4019,2002,2002,12491
"Pinal County, AZ",4021,1995,1995,2031
"Pinal County, AZ",4021,1996,1996,2111
"Pinal County, AZ",4021,1997,1997,2150
"Pinal County, AZ",4021,1998,1998,2233
"Pinal County, AZ",4021,1999,1999,2409
"Pinal County, AZ",4021,2000,2000,2613
"Pinal County, AZ",4021,2001,2001,2559
"Pinal County, AZ",4021,2002,2002,2711
"Yavapai County, AZ",4025,1995,1995,1533
"Yavapai County, AZ",4025,1996,1996,1580
"Yavapai County, AZ",4025,1997,1997,1544
"Yavapai County, AZ",4025,1998,1998,1698
"Yavapai County, AZ",4025,1999,1999,1625
"Yavapai County, AZ",4025,2000,2000,1755
"Yavapai County, AZ",4025,2001,2001,1746
"Yavapai County, AZ",4025,2002,2002,1920
