MET_NAME,costar_name
"Yuma, AZ",Yuma - AZ USA
"Yuba City, CA",Yuba City - CA USA
"Youngstown-Warren-Boardman, OH-PA",Youngstown - OH USA
"York-Hanover, PA",York - PA USA
"Yakima, WA",Yakima - WA USA
"Worcester, MA-CT",Worcester - MA USA
"Winston-Salem, NC",Winston-Salem - NC USA
"Williamsport, PA",Williamsport - PA USA
"Wichita, KS",Wichita - KS USA
"Wichita Falls, TX",Wichita Falls - TX USA
"Wausau, WI",Wausau - WI USA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington - DC USA
"Waco, TX",Waco - TX USA
"Visalia-Porterville, CA",Visalia - CA USA
"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk - VA USA
"Vineland-Bridgeton, NJ",Vineland - NJ USA
"Vallejo-Fairfield, CA",Vallejo-Fairfield - CA USA
"Valdosta, GA",Valdosta - GA USA
"Utica-Rome, NY",Utica - NY USA
"Urban Honolulu, HI",Honolulu - HI USA
"Tyler, TX",Tyler - TX USA
"Tucson, AZ",Tucson - AZ USA
"Trenton, NJ",Trenton - NJ USA
"Toledo, OH",Toledo - OH USA
"Terre Haute, IN",Terre Haute - IN USA
"Tampa-St. Petersburg-Clearwater, FL",Tampa - FL USA
"Tallahassee, FL",Tallahassee - FL USA
"Syracuse, NY",Syracuse - NY USA
"Sumter, SC",Sumter - SC USA
"Stockton-Lodi, CA",Stockton - CA USA
"State College, PA",State College - PA USA
"St. Louis, MO-IL",Saint Louis - MO USA
"St. Cloud, MN",St. Cloud - MN USA
"Springfield, OH",Springfield - OH USA
"Springfield, MO",Springfield - MO USA
"Springfield, MA",Springfield - MA USA
"Springfield, IL",Springfield - IL USA
"Spokane-Spokane Valley, WA",Spokane - WA USA
"Spartanburg, SC",Spartanburg - SC USA
"Shreveport-Bossier City, LA",Shreveport - LA USA
"Sheboygan, WI",Sheboygan - WI USA
"Seattle-Tacoma-Bellevue, WA",Seattle - WA USA
"Scranton--Wilkes-Barre--Hazleton, PA",Scranton - PA USA
"Santa Rosa, CA",Santa Rosa - CA USA
"Santa Maria-Santa Barbara, CA",Santa Barbara - CA USA
"Santa Fe, NM",Santa Fe - NM USA
"Santa Cruz-Watsonville, CA",Santa Cruz - CA USA
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",San Luis Obispo - CA USA
"San Jose-Sunnyvale-Santa Clara, CA",San Jose - CA USA
"San Francisco-Oakland-Hayward, CA",San Francisco - CA USA
"San Diego-Carlsbad, CA",San Diego - CA USA
"San Antonio-New Braunfels, TX",San Antonio - TX USA
"San Angelo, TX",San Angelo - TX USA
"Salt Lake City, UT",Salt Lake City - UT USA
"Salisbury, MD-DE",Salisbury - MD USA
"Salinas, CA",Salinas - CA USA
"Saginaw, MI",Saginaw - MI USA
"Sacramento--Roseville--Arden-Arcade, CA",Sacramento - CA USA
"Rocky Mount, NC",Rocky Mount - NC USA
"Rockford, IL",Rockford - IL USA
"Rochester, NY",Rochester - NY USA
"Riverside-San Bernardino-Ontario, CA",Inland Empire - CA USA
"Richmond, VA",Richmond - VA USA
"Reno, NV",Reno - NV USA
"Redding, CA",Redding - CA USA
"Reading, PA",Reading - PA USA
"Raleigh, NC",Raleigh - NC USA
"Racine, WI",Racine - WI USA
"Punta Gorda, FL",Punta Gorda - FL USA
"Pueblo, CO",Pueblo - CO USA
"Provo-Orem, UT",Provo - UT USA
"Providence-Warwick, RI-MA",Providence - RI USA
"Prescott, AZ",Prescott - AZ USA
"Portland-Vancouver-Hillsboro, OR-WA",Portland - OR USA
"Portland-South Portland, ME",Portland - ME USA
"Port St. Lucie, FL",Port St. Lucie - FL USA
"Pittsfield, MA",Pittsfield - MA USA
"Pittsburgh, PA",Pittsburgh - PA USA
"Phoenix-Mesa-Scottsdale, AZ",Phoenix - AZ USA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia - PA USA
"Peoria, IL",Peoria - IL USA
"Pensacola-Ferry Pass-Brent, FL",Pensacola - FL USA
"Panama City, FL",Panama City - FL USA
"Palm Bay-Melbourne-Titusville, FL",Melbourne - FL USA
"Oxnard-Thousand Oaks-Ventura, CA",Ventura - CA USA
"Owensboro, KY",Owensboro - KY USA
"Orlando-Kissimmee-Sanford, FL",Orlando - FL USA
"Omaha-Council Bluffs, NE-IA",Omaha - NE USA
"Olympia-Tumwater, WA",Olympia - WA USA
"Oklahoma City, OK",Oklahoma City - OK USA
"Ogden-Clearfield, UT",Ogden - UT USA
"Odessa, TX",Odessa - TX USA
"Ocean City, NJ",Ocean City - NJ USA
"Ocala, FL",Ocala - FL USA
"Norwich-New London, CT",Norwich - CT USA
"North Port-Sarasota-Bradenton, FL",Sarasota - FL USA
"Niles-Benton Harbor, MI",Niles-Benton Harbor - MI USA
"New York-Newark-Jersey City, NY-NJ-PA",New York - NY USA
"New Orleans-Metairie, LA",New Orleans - LA USA
"New Haven-Milford, CT",New Haven - CT USA
"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville - TN USA
"Naples-Immokalee-Marco Island, FL",Naples - FL USA
"Napa, CA",Napa - CA USA
"Muskegon, MI",Muskegon - MI USA
"Muncie, IN",Muncie - IN USA
"Morgantown, WV",Morgantown - WV USA
"Montgomery, AL",Montgomery - AL USA
"Monroe, MI",Monroe - MI USA
"Monroe, LA",Monroe - LA USA
"Modesto, CA",Modesto - CA USA
"Mobile, AL",Mobile - AL USA
"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis - MN USA
"Milwaukee-Waukesha-West Allis, WI",Milwaukee - WI USA
"Midland, TX",Midland - TX USA
"Michigan City-La Porte, IN",Michigan City-La Porte - IN USA
"Miami-Fort Lauderdale-West Palm Beach, FL",Miami - FL USA
"Merced, CA",Merced - CA USA
"Memphis, TN-MS-AR",Memphis - TN USA
"Medford, OR",Medford - OR USA
"McAllen-Edinburg-Mission, TX",McAllen - TX USA
"Mansfield, OH",Mansfield - OH USA
"Manchester-Nashua, NH",Manchester - NH USA
"Madera, CA",Madera - CA USA
"Lynchburg, VA",Lynchburg - VA USA
"Lubbock, TX",Lubbock - TX USA
"Louisville/Jefferson County, KY-IN",Louisville - KY USA
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles - CA USA
"Little Rock-North Little Rock-Conway, AR",Little Rock - AR USA
"Lincoln, NE",Lincoln - NE USA
"Lewiston-Auburn, ME",Lewiston-Auburn - ME USA
"Lebanon, PA",Lebanon - PA USA
"Las Vegas-Henderson-Paradise, NV",Las Vegas - NV USA
"Las Cruces, NM",Las Cruces - NM USA
"Laredo, TX",Laredo - TX USA
"Lansing-East Lansing, MI",Lansing - MI USA
"Lancaster, PA",Lancaster - PA USA
"Lakeland-Winter Haven, FL",Lakeland - FL USA
"Lake Havasu City-Kingman, AZ",Lake Havasu - AZ USA
"Lake Charles, LA",Lake Charles - LA USA
