YEAR,MET_NAME,PPL_IN_RENTALS,RENTAL_UNITS,PPL_PER_RENTAL,costar_name
2011,"Los Angeles-Long Beach-Anaheim, CA",5781854.0,2126145.0,2.7194071900082073,Los Angeles - CA USA
2007,"El Paso, TX",222843.0,81741.0,2.726208389914486,El Paso - TX USA
2017,"Odessa, TX",42306.0,18426.0,2.2959947899706936,Odessa - TX USA
2020,"Anchorage, AK",99855.0,43425.0,2.299481865284974,Anchorage - AK USA
2017,"Bremerton-Silverdale, WA",79095.0,34918.0,2.2651640987456325,Bremerton - WA USA
2012,"Portland-South Portland, ME",134021.0,64888.0,2.0654204167180374,Portland - ME USA
2023,"Beckley, WV",25347.0,11665.0,2.172910415773682,
2006,"Harrisburg-Carlisle, PA",130629.0,65480.0,1.9949450213805742,Harrisburg - PA USA
2022,"Provo-Orem, UT",186516.0,64297.0,2.900850739536837,Provo - UT USA
2015,"Lawrence, KS",39629.0,19407.0,2.0419951563868706,
2007,"Blacksburg-Christiansburg-Radford, VA",58293.0,25857.0,2.2544378698224854,Blacksburg - VA USA
2013,"Waco, TX",89622.0,39526.0,2.26741891413247,Waco - TX USA
2008,"Dover, DE",35609.0,15919.0,2.2368867391167786,Dover - DE USA
2011,"Toledo, OH",208504.0,90992.0,2.291454193775277,Toledo - OH USA
2018,"Worcester, MA-CT",255685.0,119385.0,2.141684466222725,Worcester - MA USA
2020,"Monroe, LA",55205.0,24676.0,2.237194034689577,Monroe - LA USA
2011,"Monroe, MI",29301.0,11237.0,2.6075464981756697,Monroe - MI USA
2008,"Hammond, LA",40501.0,15624.0,2.5922299027137736,Hammond - LA USA
2022,"Bellingham, WA",65490.0,32955.0,1.9872553482020938,Bellingham - WA USA
2006,"Grand Junction, CO",36281.0,15659.0,2.3169423334823422,Grand Junction - CO USA
2013,"Niles-Benton Harbor, MI",37474.0,16855.0,2.2233165232868584,Niles-Benton Harbor - MI USA
2018,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",98455.0,44435.0,2.2157083380218294,
2015,"Akron, OH",209548.0,97233.0,2.15511194758981,Akron - OH USA
2011,"Salisbury, MD-DE",86757.0,33899.0,2.559279034779787,Salisbury - MD USA
2023,"Lafayette, LA",136244.0,61050.0,2.2316789516789517,Lafayette - LA USA
2007,"Anchorage, AK",126208.0,50119.0,2.518166763103813,Anchorage - AK USA
2015,"Cincinnati, OH-KY-IN",608760.0,283086.0,2.1504419151777197,Cincinnati - OH USA
2010,"Chattanooga, TN-GA",142951.0,61729.0,2.315783505321648,Chattanooga - TN USA
2019,"Coeur d'Alene, ID",45435.0,19910.0,2.282019085886489,
2011,"Michigan City-La Porte, IN",23052.0,10619.0,2.1708258781429515,Michigan City-La Porte - IN USA
2009,"Albany-Schenectady-Troy, NY",213832.0,107802.0,1.983562457097271,Albany - NY USA
2022,"St. Louis, MO-IL",731322.0,361547.0,2.022757760401829,Saint Louis - MO USA
2005,"Yuba City, CA",54868.0,20212.0,2.7146249752622205,Yuba City - CA USA
2019,"State College, PA",46230.0,23429.0,1.9731956122753853,State College - PA USA
2008,"Port St. Lucie, FL",93223.0,37051.0,2.51607244068986,Port St. Lucie - FL USA
2010,"Pensacola-Ferry Pass-Brent, FL",117896.0,51098.0,2.307252730048143,Pensacola - FL USA
2020,"East Stroudsburg, PA",38129.0,13249.0,2.877877575666088,East Stroudsburg - PA USA
2018,"Wenatchee, WA",41192.0,16276.0,2.530842958957975,
2023,"Allentown-Bethlehem-Easton, PA-NJ",237430.0,103867.0,2.2859040888828983,Lehigh Valley - PA USA
2014,"Minneapolis-St. Paul-Bloomington, MN-WI",883153.0,404753.0,2.181955414783831,Minneapolis - MN USA
2009,"Las Cruces, NM",61116.0,24459.0,2.498712130504109,Las Cruces - NM USA
2016,"Flagstaff, AZ",43600.0,18688.0,2.3330479452054793,Flagstaff - AZ USA
2013,"Vallejo-Fairfield, CA",155530.0,58141.0,2.675048588775563,Vallejo-Fairfield - CA USA
2005,"Ocean City, NJ",20354.0,9128.0,2.2298422436459244,Ocean City - NJ USA
2014,"Gulfport-Biloxi-Pascagoula, MS",113510.0,50008.0,2.269836826107823,Gulfport-Biloxi-Pascagoula - MS USA
2018,"Corpus Christi, TX",163345.0,64682.0,2.525354812776352,Corpus Christi - TX USA
2016,"Portland-South Portland, ME",121220.0,65408.0,1.8532901174168297,Portland - ME USA
2016,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",115146.0,50498.0,2.28020911719276,
2012,"Lima, OH",28481.0,12903.0,2.2073161280322404,
2014,"Houston-The Woodlands-Sugar Land, TX",2254921.0,902980.0,2.4971992735165784,Houston - TX USA
2010,"Worcester, MA-CT",236577.0,109909.0,2.152480688569635,Worcester - MA USA
2014,"Chicago-Naperville-Elgin, IL-IN-WI",2915660.0,1229942.0,2.3705670673901698,Chicago - IL USA
2007,"East Stroudsburg, PA",36943.0,13600.0,2.7163970588235293,East Stroudsburg - PA USA
2016,"Lawrence, KS",41995.0,23379.0,1.796270156978485,
2013,"Decatur, IL",30093.0,13271.0,2.26757591741391,Decatur - IL USA
