YEAR,MET_NAME,Geography_Description,POPULATION_OTHER,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OTHER,HOUSEHOLDS_RENTED,HOUSEHOLDS_OWNED,BEDROOMS_OTHER,BEDROOMS_RENTED,BEDROOMS_OWNED,TOTAL_POPULATION,TOTAL_HOUSEHOLDS,TOTAL_BEDROOMS,DENSITY_OWNED,DENSITY_RENTED,DENSITY_OTHER,BEDROOM_DENSITY_OWNED,BEDROOM_DENSITY_RENTED,BEDROOM_DENSITY_OTHER,MET2013,AGE_UNDER_18_SHARE,AGE_18_TO_24_SHARE,AGE_25_TO_34_SHARE,AGE_34_TO_49_SHARE,AGE_50_AND_OVER_SHARE,CBSA Title,MET_CODE,Geography_Description_right,Period,CBSA_code,Costar_Geography,rent_growth,inventory_units
2017,"Punta Gorda, FL",2013_CBSA_CODE,3288.0,39340.0,139068.0,3288.0,14616.0,61439.0,0.0,45049.0,227318.0,181696.0,79343.0,272367.0,2.263513403538469,2.6915708812260535,1.0,0.6117773339550762,0.873271326777509,inf,39460,0.2429588205388917,0.07986781901372648,0.12475851550584646,0.18665480427046263,0.3657600406710727,"Punta Gorda, FL",39460,2013_CBSA_CODE,2017 Q4,39460,Punta Gorda - FL USA,0.0405561998486519,1520
2012,"Madera, CA",2013_CBSA_CODE,7159.0,67502.0,76905.0,7159.0,16874.0,24161.0,0.0,59969.0,99349.0,151566.0,48194.0,159318.0,3.183022225901246,4.000355576626763,1.0,0.7740893214828534,1.1256149010322,inf,31460,0.3521377144380907,0.11878166572842286,0.1780836123374122,0.1898017836508548,0.17563924031880537,"Madera, CA",31460,2013_CBSA_CODE,2012 Q4,31460,Madera - CA USA,0.0158647000789642,2521
2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013_CBSA_CODE,109578.0,2036256.0,3976009.0,109578.0,791635.0,1378108.0,0.0,2322954.0,6167125.0,6121843.0,2279321.0,8490079.0,2.8851214853988223,2.5722157307344924,1.0,0.644710298558891,0.8765804230303312,inf,47900,0.2457873666179498,0.10523185689815033,0.23290931984976349,0.23967909732371567,0.19679696462527305,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2013_CBSA_CODE,2017 Q4,47900,Washington - DC USA,0.013435467146337,483057
2012,"Lewiston-Auburn, ME",2013_CBSA_CODE,3452.0,28942.0,75589.0,3452.0,15627.0,29014.0,0.0,48301.0,113203.0,107983.0,48093.0,161504.0,2.605259529882126,1.8520509374800025,1.0,0.6677296538077613,0.5992008447030083,inf,30340,0.2341579711146431,0.11916937322921706,0.18343583719162462,0.21854052933453114,0.28488010503766154,"Lewiston-Auburn, ME",30340,2013_CBSA_CODE,2012 Q4,30340,Lewiston-Auburn - ME USA,0.0128524489700794,3705
2005,"Wausau, WI",2013_CBSA_CODE,0.0,24039.0,101946.0,,11267.0,41058.0,,36321.0,166982.0,125985.0,,,2.4829753032295776,2.133575929706222,,0.6105208944676672,0.6618485173866359,,48140,0.2730562835392487,0.11115271017929199,0.2085361287907151,0.20200507508631807,0.20524980240442614,"Wausau, WI",48140,2013_CBSA_CODE,2005 Q4,48140,Wausau - WI USA,0.00892999302595854,3559
2007,"Seattle-Tacoma-Bellevue, WA",2013_CBSA_CODE,66631.0,1025683.0,2217545.0,66631.0,468551.0,841118.0,0.0,1346926.0,3501011.0,3309859.0,1376300.0,4847937.0,2.6364255669240224,2.1890530593254525,1.0,0.6334013232177791,0.7614991469464544,inf,42660,0.23956914563271497,0.13427052997856062,0.22474487731589585,0.23065313552042882,0.1895176189914428,"Seattle-Tacoma-Bellevue, WA",42660,2013_CBSA_CODE,2007 Q4,42660,Seattle - WA USA,0.0668301060795784,254549
2012,"East Stroudsburg, PA",2013_CBSA_CODE,2497.0,42071.0,124233.0,2497.0,13338.0,44223.0,0.0,40859.0,193335.0,168801.0,60058.0,234194.0,2.8092395359880604,3.1542210226420755,1.0,0.6425789432849717,1.029662987346729,inf,20700,0.24375460531007107,0.20320410734234984,0.12060564284186256,0.16857217560790094,0.29507261534073354,"East Stroudsburg, PA",20700,2013_CBSA_CODE,2012 Q4,20700,East Stroudsburg - PA USA,0.012322093360126,1436
2016,"Goldsboro, NC",2013_CBSA_CODE,3327.0,53030.0,68252.0,3327.0,19581.0,27659.0,0.0,70091.0,113743.0,124609.0,50567.0,183834.0,2.4676235583354424,2.708237577243246,1.0,0.6000545088488962,0.7565878643477765,inf,24140,0.2920988119932114,0.11237035640203659,0.19777484442768245,0.21325664718084103,0.20011314350367718,"Goldsboro, NC",24140,2013_CBSA_CODE,2016 Q4,24140,Goldsboro - NC USA,0.0971701443195343,2161
2020,"Omaha-Council Bluffs, NE-IA",2013_CBSA_CODE,20221.0,268994.0,721895.0,20221.0,134649.0,275058.0,0.0,393245.0,1172144.0,1011110.0,429928.0,1565389.0,2.6245191923158027,1.9977422780711331,1.0,0.6158756944539238,0.684036669251993,inf,36540,0.22157371539885648,0.14413704394893567,0.220183349814494,0.16459846688030216,0.25906154040610574,"Omaha-Council Bluffs, NE-IA",36540,2013_CBSA_CODE,2020 Q4,36540,Omaha - NE USA,0.0167684070765972,73955
2018,"Topeka, KS",2013_CBSA_CODE,6282.0,66308.0,152673.0,6282.0,30439.0,61638.0,0.0,88630.0,253656.0,225263.0,98359.0,342286.0,2.4769298160225834,2.1783895660172803,1.0,0.6018899612073044,0.7481439693106172,inf,45820,0.2864360258189057,0.14649816010134523,0.164308982324908,0.16584725824938168,0.24862761657718527,"Topeka, KS",45820,2013_CBSA_CODE,2018 Q4,45820,Topeka - KS USA,0.0367280058562756,9817
