Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",64.3,,,
"Albany-Schenectady-Troy, NY .....................................................................",58.1,,,
"Albuquerque, NM...................................................................................................",76.4,,,
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",74.2,,,
"Atlanta-Sandy Springs-Roswell, GA1....................................................",64.1,,,
"Austin-Round Rock, TX.....................................................................................................",57.7,,,
"Baltimore-Columbia-Towson, MD2.....................................................................................................",67.8,,,
"Baton Rouge, LA……………………………………….",72.9,,,
"Birmingham-Hoover, AL......................................................................................................",68.1,,,
"Boston-Cambridge-Newton, MA-NH3...................................................................................",60.2,,,
"Bridgeport-Stamford-Norwalk, CT.....................................................................",66,,,
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",71.3,,,
"Cape Coral-Fort Myers, FL...................................................................................",78.2,,,
"Charleston-North Charleston-Summerville, SC....................................................................................................",75.4,,,
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",61.2,,,
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",63.9,,,
"Cincinnati, OH-KY-IN7............................................................................................",73.1,,,
"Cleveland-Elyria, OH8..............................................................................................",61.7,,,
"Columbia, SC………………………………………….",74,,,
"Columbus, OH............................................................................................................................................",66,,,
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",63.5,,,
"Dayton, OH...........................................................................................................................................................",65.9,,,
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",58.4,,,
"Detroit-Warren-Dearborn, MI10....................................................................................................................",69.9,,,
"Fresno, CA………………………………………………",57.6,,,
"Grand Rapids-Wyoming, MI....................................................................................................................................",73.1,,,
"Greensboro-High Point, NC............................................................................................................................",69.8,,,
"Hartford-West Hartford-East Hartford, CT................................................................................",63.6,,,
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",63.8,,,
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",66.7,,,
"Jacksonville, FL..........................................................................................................................................",64.5,,,
"Kansas City, MO-KS.............................................................................................................................................",66.9,,,
"Knoxville, TN.............................................................................................................................................",70.3,,,
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",55.1,,,
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,,,
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49,,,
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",71.8,,,
"Memphis, TN-AR-MS.............................................................................................................................................",61.6,,,
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",57.2,,,
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",64.5,,,
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",71.1,,,
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",72.6,,,
"New Haven-Milford, CT..............................................................................................................................................................",69.3,,,
"New Orleans-Metairie, LA.18....................................................................................................................................",64,,,
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",47,,,
"North Port-Bradenton-Sarasota, FL.......................................................................................................",82.3,,,
