year,household,population,us_hh_density
2000,104705,281083,2.685
2001,108209,283960,2.624
2002,109297,286739,2.623
2003,111278,289412,2.601
2004,112000,292046,2.608
2005,113343,294768,2.601
2006,114384,297526,2.601
2007,116011,300398,2.589
2008,116783,303280,2.597
2009,117181,306035,2.612
2010,117538,308706,2.626
2011,119927,311204,2.595
2012,121084,313636,2.59
2013,122459,316038,2.581
2014,123229,318464,2.584
2015,124587,320997,2.576
2016,125819,323509,2.571
2017,126224,325901,2.582
2018,127586,327969,2.571
2019,128579,329766,2.565
2020,128451,331443,2.58
2021,129224,332059,2.57
2022,131202,333349,2.541
2023,131434,335770,2.555
2024,132216,338787,2.562
2025,134790,341268,2.532
