model,quartile,mean_y_hat,mean_y_true,mean_diff,mean_abs_diff
Absorption only,1,-0.0011996066716003756,-0.0004511035409814219,-0.0007485031306189536,0.0035083081682637162
Absorption only,2,-0.00029068505810884234,0.0016119237702029406,-0.0019026088283117832,0.003659577309400545
Absorption only,3,0.00015503646867249775,0.0026345276879146573,-0.0024794912192421595,0.006063617189376634
Absorption only,4,0.0005549720395747952,0.0008247838813500979,-0.00026981184177530274,0.006509318366851531
Absorption only,5,0.0009550199769436867,0.0021635279424178076,-0.001208507965474121,0.002767516362175014
Absorption only,6,0.0013252678426536875,-0.0025848088795707284,0.003910076722224416,0.006534743250733261
Absorption only,7,0.001808000514562181,0.0032683941558934756,-0.0014603936413312949,0.0046584582303639925
Absorption only,8,0.0023170952743134447,0.0018577342154458049,0.00045936105886763997,0.007040880653195417
Absorption only,9,0.003100609658339799,-0.0007251339679351124,0.0038257436262749116,0.007005088602991757
Absorption only,10,0.005140545794507474,-0.0022204770077951246,0.0073610228023025985,0.012442567679067318
All predictors,1,-0.010656162838784565,-0.012264382613180457,0.0016082197743958933,0.006662544348781641
All predictors,2,-0.00486781357003723,-0.004718931568121276,-0.0001488820019159525,0.009419213334163828
All predictors,3,-0.002580426890263992,-0.0030956919246818934,0.0005152650344179014,0.004170179824302419
All predictors,4,-0.0005708600915206751,-0.0017546773341434502,0.0011838172426227752,0.00471608607179308
All predictors,5,0.001177612667607379,-0.0019367314791972107,0.0031143441468045904,0.006279188887236215
All predictors,6,0.002631585851123862,0.0007913967270204446,0.0018401891241034175,0.0034815185183771644
All predictors,7,0.004392127744717441,0.001669255971708998,0.0027228717730084437,0.004167658898770716
All predictors,8,0.006339675173033707,0.0067992584181151144,-0.0004595832450814075,0.005258808593121805
All predictors,9,0.008812987301399493,0.007437165621169172,0.0013758216802303228,0.00509614552254233
All predictors,10,0.013355241805185712,0.014350107915899036,-0.0009948661107133249,0.007696199983919819
Excess crowding only,1,-0.0693541314728426,-0.0011250196560286052,-0.06822911181681399,0.06822911181681399
Excess crowding only,2,-0.04187925391100445,0.000124696270407488,-0.04200395018141194,0.04200395018141194
Excess crowding only,3,-0.025695086110531583,0.0021289049368351585,-0.027823991047366745,0.027823991047366745
Excess crowding only,4,-0.016295077577941644,0.0016789704264374315,-0.017974048004379076,0.017974048004379076
Excess crowding only,5,-0.0071434446764980205,0.0014493964612483888,-0.00859284113774641,0.008829135824717959
Excess crowding only,6,0.003003541116363252,-0.0009385104892135114,0.0039420516055767634,0.006061646832510471
Excess crowding only,7,0.015494939297972953,0.0007995221690119523,0.014695417128960999,0.014695417128960999
Excess crowding only,8,0.024646922082522674,0.0015018508459130882,0.023145071236609586,0.023145071236609586
Excess crowding only,9,0.03740118525007937,0.00048437064125512785,0.03691681460882424,0.03691681460882424
Excess crowding only,10,0.06077910186451208,0.00027518665107587796,0.060503915213436205,0.060503915213436205
Lagged rent growth only,1,-0.010898973800370733,-0.009474459970026924,-0.0014245138303438092,0.009973598218957774
Lagged rent growth only,2,-0.005604612310317993,-0.0070713139954023075,0.001466701685084316,0.0067608399306301765
Lagged rent growth only,3,-0.0032567360979927447,-0.003899487021512233,0.0006427509235194884,0.003502470062242777
Lagged rent growth only,4,-0.0016408347189304615,-0.002868832158024556,0.0012279974390940944,0.004219539026910196
Lagged rent growth only,5,-3.512037666782628e-05,-0.000314930375939838,0.00027980999927201166,0.002534356119718717
Lagged rent growth only,6,0.0015691514522338267,-0.00043500794147674547,0.002004159393710572,0.0034027454368987073
Lagged rent growth only,7,0.0033607151546857813,0.0027349580811070434,0.0006257570735787379,0.0028618660905441974
Lagged rent growth only,8,0.005416424569223093,0.005718027189141136,-0.00030160261991804316,0.003328258838319026
Lagged rent growth only,9,0.008276827268783435,0.007577933155698704,0.000698894113084732,0.00472351906255018
Lagged rent growth only,10,0.01390125866369536,0.015309882771024201,-0.001408624107328841,0.007593645547904934
Occupancy only,1,-0.006045622508779653,-0.005696767473321721,-0.00034885503545793105,0.006775006763077683
Occupancy only,2,-0.0028079539810022067,-0.005609825271676532,0.0028018712906743245,0.005683326898899957
Occupancy only,3,-0.0011844368040131012,-0.0018190691790853997,0.0006346323750722982,0.007901578948614143
Occupancy only,4,0.00025590865765324084,-0.00032950436385968825,0.000585413021512929,0.004791858805419035
Occupancy only,5,0.0014721855948441375,0.0001740228648607906,0.001298162729983347,0.0033107175416055693
Occupancy only,6,0.002553542569634854,0.003104840588445459,-0.0005512980188106047,0.0034083127638086844
Occupancy only,7,0.003443606923364408,0.00112262707979728,0.002320979843567128,0.005333848778275483
Occupancy only,8,0.004450777025462299,-0.00036977000068874323,0.004820547026151043,0.008430144664432794
Occupancy only,9,0.005511822535679447,0.00604081423836759,-0.0005289917026881419,0.006192581834718423
Occupancy only,10,0.007075722745601923,0.009761999774103362,-0.002686277028501438,0.006539871777288121
Supply growth only,1,-0.0034479231113943433,-0.003386804224962063,-6.111888643228018e-05,0.012844041386084703
Supply growth only,2,-0.0014157331153855782,-0.003482986301338926,0.0020672531859533476,0.008027053517282475
Supply growth only,3,-0.0006683529366002253,-0.0011448779407267787,0.00047652500412655315,0.0030423827952729427
Supply growth only,4,-0.0001574666197913438,-0.0011760563977683562,0.0010185897779770125,0.004590160015166326
Supply growth only,5,0.00023365317420247876,0.0005421671036553246,-0.0003085139294528458,0.0038170755692375005
Supply growth only,6,0.0005325096146171394,0.0020898352121002913,-0.001557325597483152,0.0044931103257191945
Supply growth only,7,0.0008091130693077433,0.00015315844818056858,0.0006559546211271747,0.004176910479324563
Supply growth only,8,0.001087137064368838,0.0007785652151020739,0.00030857184926676406,0.003618737721364613
Supply growth only,9,0.0013876526485225881,0.006367927595939744,-0.004980274947417156,0.005192704111295294
Supply growth only,10,0.001816517069291227,0.0057931131043005655,-0.003976596035009338,0.004757778017807504
