year,met_name,geography_description,population_owned,population_rented,households_owned,households_rented,bedrooms_owned,bedrooms_rented,total_population,total_households,total_bedrooms,density_owned,density_rented,bedroom_density_owned,bedroom_density_rented,met2013,age_under_18_share,age_18_to_24_share,age_25_to_34_share,age_34_to_49_share,age_50_and_over_share,cbsa title,met_code,geography_description_right,period,cbsa_code,costar_geography,rent_growth,inventory_units,occupancy,absorption,rent_growth_next_year,cpi,real_rent_growth_next_year,real_rent_growth,real_relative_rent_growth_next_year,real_relative_rent_growth_this_year,supply_growth,density_rented_change,own_percent,population_growth,sfh_share
2006,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013_CBSA_CODE,1059320.0,429056.0,412689.0,189457.0,1701717.0,578358.0,1488376.0,602146.0,2280075.0,2.566872390589524,2.264661638260925,0.6225006860717734,0.741851932540053,34980,0.2774416393198091,0.1494163931980907,0.21557791989856803,0.2194608629176611,0.15573258502386636,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2013_CBSA_CODE,2006 Q4,34980,Nashville - TN USA,0.0236585456877947,84877,0.9368816614151,0.011216,0.029835669323802,0.041088134,-0.011252464676197997,-0.0015812323122053017,0.0019297692924738017,-0.0149602778255939,0.018650312638767208,0.05911145912325644,0.31463631743796355,0.027900305046281812,0.6785364346852757
2009,"Memphis, TN-MS-AR",2013_CBSA_CODE,815063.0,461619.0,303889.0,177400.0,1289087.0,569068.0,1276682.0,481289.0,1858155.0,2.682107611660837,2.6021364148816235,0.6322792798313845,0.8111842521456135,32820,0.3418338499931762,0.1294595759706598,0.18422985189084504,0.2013478647975928,0.1547704925490502,"Memphis, TN-MS-AR",32820,2013_CBSA_CODE,2009 Q4,32820,Memphis - TN USA,-0.0389012172818184,91468,0.865969598293304,0.010524,-0.00497324857860804,0.01437793,-0.01935117857860804,-0.06704244828181839,-0.011984143638983369,-0.00750350765883924,0.002674734718933614,0.06606760195198635,0.3685935061885894,0.01466504534147175,0.7314939672421352
2012,"Richmond, VA",2013_CBSA_CODE,809883.0,366016.0,302153.0,149936.0,1328103.0,475442.0,1175899.0,452089.0,1803545.0,2.680373850334102,2.4411482232419166,0.6098043600533994,0.7698436402337193,40060,0.26971225301626156,0.1391797079909075,0.2121000174855744,0.20498557440111909,0.18986328466515126,"Richmond, VA",40060,2013_CBSA_CODE,2012 Q4,40060,Richmond - VA USA,0.0104274014011025,74738,0.916702806949615,0.009454,0.0226256884634495,0.015128384,0.007497304463449499,-0.0071676485988975015,0.001324719749391098,-0.0059036817401648,0.012147722809821102,-0.0059110032849907235,0.33165151109626645,0.049403858853766934,0.706860817228466
2014,"St. Louis, MO-IL",2013_CBSA_CODE,1990579.0,790565.0,761432.0,348789.0,3129348.0,1055799.0,2781144.0,1110221.0,4185147.0,2.6142570840206347,2.2665995773949295,0.6361002355762286,0.7487836226402942,41180,0.27244312611866195,0.12314863420465111,0.20286124480592993,0.19532359768014015,0.21951389196334267,"St. Louis, MO-IL",41180,2013_CBSA_CODE,2014 Q4,41180,Saint Louis - MO USA,0.00672751851379871,126209,0.908070743083954,0.01007,0.0337126180529594,0.006387248,0.027325370052959402,0.00019630451379871062,0.0015111248940229,-0.011699324473738691,0.0078095679184866365,0.02415718443134729,0.31416177499795084,0.002047587770103777,0.7146279884815726
2009,"Reno, NV",2013_CBSA_CODE,252925.0,155164.0,95570.0,62331.0,399889.0,187229.0,408089.0,157901.0,587118.0,2.6464894841477453,2.4893552165054307,0.6324880154242802,0.8287391376335931,39900,0.28203707045448684,0.1265950864891341,0.1982354154314145,0.2137995926890258,0.19018586785594596,"Reno, NV",39900,2013_CBSA_CODE,2009 Q4,39900,Reno - NV USA,-0.0658794194459915,32567,0.904850482940674,0.000415,0.00148663634900004,0.01437793,-0.01289129365099996,-0.0940206504459915,-0.005524258711375289,-0.03448170982301235,0.011271891690473233,-0.08533885691694776,0.3947473416887797,0.012821308289673213,0.6273234495031698
2015,"Tampa-St. Petersburg-Clearwater, FL",2013_CBSA_CODE,1847116.0,1081711.0,733825.0,432878.0,2862532.0,1307897.0,2928827.0,1166703.0,4170429.0,2.5171069396654517,2.4988819020601647,0.6452734851523058,0.8270613052862725,45300,0.25678762626986323,0.11061272373119992,0.19670133704843532,0.22081960893436417,0.2340107477875329,"Tampa-St. Petersburg-Clearwater, FL",45300,2013_CBSA_CODE,2015 Q4,45300,Tampa - FL USA,0.0584690049290657,176145,0.941874146461487,0.024451,0.0331751070916653,0.020507989,0.012667118091665302,0.0520817569290657,0.007420351728797002,0.026267511770129197,0.015040193620883395,-0.017717931505375262,0.3710267308818097,0.022332067065314785,0.5826615685397226
2010,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013_CBSA_CODE,4244455.0,1591967.0,1533893.0,695164.0,6554295.0,2046275.0,5836422.0,2229057.0,8600570.0,2.7671128299040415,2.2900596118326035,0.6475837599619791,0.7779829201842372,37980,0.25074263474054426,0.13994322746639848,0.20152993121088567,0.20007324272425245,0.22034125079225889,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2013_CBSA_CODE,2010 Q4,37980,Philadelphia - PA USA,0.0253929495811462,289413,0.931821167469025,0.007825,0.00891782063990831,0.030620668,-0.02170284736009169,0.011015019581146198,-0.0027725291438400884,0.01838205452077087,0.0035090030894483724,-0.00904865430367563,0.31186461360117756,0.00723774666350734,0.46972194968544995
2022,"Omaha-Council Bluffs, NE-IA",2013_CBSA_CODE,741294.0,301317.0,283484.0,145891.0,1221196.0,433900.0,1042611.0,429375.0,1655096.0,2.6149412312511466,2.0653570131125294,0.6070229512707215,0.6944388107858954,36540,0.24676005668448842,0.14806997281932316,0.20554432707082573,0.18845933020705768,0.2283674668206573,"Omaha-Council Bluffs, NE-IA",36540,2013_CBSA_CODE,2022 Q4,36540,Omaha - NE USA,0.0666079446673393,77593,0.94570255279541,0.024611,0.0276281498372555,0.033222002,-0.005593852162744502,0.002499627667339299,0.009883395396173047,0.021007973700761746,0.02766740834922653,0.005938573599697516,0.33977525473071324,-0.003756179876201815,0.7219540029112081
2010,"Seattle-Tacoma-Bellevue, WA",2013_CBSA_CODE,2187129.0,1195458.0,823264.0,530500.0,3481211.0,1570679.0,3382587.0,1353764.0,5051890.0,2.6566557021805886,2.253455230914232,0.628266715232142,0.7611090490163808,42660,0.24071945647609536,0.13105353763996727,0.24179352181339703,0.21432538826123546,0.18827093883683074,"Seattle-Tacoma-Bellevue, WA",42660,2013_CBSA_CODE,2010 Q4,42660,Seattle - WA USA,0.0264190249145031,265321,0.934570610523224,0.017418,0.0209957715123892,0.030620668,-0.0096248964876108,0.0120410949145031,0.009305421728640802,0.01940812985412777,0.009758065436886553,0.009660779222038673,0.39187037031565325,0.014101114298323036,0.6049665968366716
2018,"Winston-Salem, NC",2013_CBSA_CODE,418955.0,221289.0,166235.0,94529.0,684486.0,301063.0,640244.0,260764.0,985549.0,2.520257466839113,2.3409641485681645,0.6120724163825119,0.7350255594344041,49180,0.2662174803085558,0.10457365707287755,0.1930055267094162,0.21009629940936964,0.2414896357252281,"Winston-Salem, NC",49180,2013_CBSA_CODE,2018 Q4,49180,Winston-Salem - NC USA,0.0508185066282749,31102,0.926240086555481,0.008939,0.0437970981001854,0.023195275,0.0206018231001854,0.030794697628274897,0.007566189393401153,0.0174924340099096,0.0044892290798695215,-0.09564787328975921,0.3625078615146263,0.006353328031034168,0.6857196545535427
