CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Albuquerque-Santa Fe-Los Alamos, NM",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Coronado Center,,,,,,,,,,,,,3.97%,1.69%,0.80%,Test NP
"Allentown-Bethlehem-East Stroudsburg, PA-NJ",BPREP US,National Logistics Portfolio,9775 Commerce Circle,,,,31.33%,2.81%,0.85%,,,,,,,,,,
"Appleton-Oshkosh-Neenah, WI",BPY / CIC/BPY Retail,Core Retail,Fox River Mall,,,,,,,,,,,,,0.16%,0.19%,0.33%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,550 Rock Hill Drive,,,,3.00%,3.04%,0.45%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,600 Wharton Drive,,,,9.43%,3.04%,0.14%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 1000,,,,7.51%,3.04%,0.23%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 200,,,,7.49%,3.04%,0.55%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 400,,,,-49.37%,3.04%,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 600,,,,5.70%,3.04%,0.28%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 800,,,,3.50%,3.04%,0.24%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,Vernon Logistics Portfolio,6085 Lagrange Blvd,,,,2.00%,3.04%,0.15%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPY / CIC/BPY Retail,Core Retail,Cumberland Mall,,,,,,,,,,,,,1.36%,2.26%,1.02%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPY / CIC/BPY Retail,Core Retail,Perimeter Mall,,,,,,,,,,,,,-1.68%,2.26%,1.39%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,BSREP III US Logistics,Falcon - Cross Dock,,,,-49.26%,3.04%,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,BSREP III US Logistics,Falcon - Rear Load,,,,-43.39%,3.04%,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,InterContinental Buckhead Atlanta by IHG,InterCon Buckhead,-2.61%,0.19%,2.89%,,,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1035 Fred Drive,,,,3.00%,3.04%,0.20%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1140 Commerce Road,,,,3.00%,3.04%,0.21%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1191 Commerce Road,,,,3.00%,3.04%,0.25%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,Watermark Lodging,Renaissance Atlanta,6.32%,0.19%,1.93%,,,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP V,BSREP V North American Logistics Portfolio,4106 Stacks,,,,4.00%,3.04%,0.11%,,,,,,,,,,
"Baton Rouge-Hammond, LA",BPY / CIC/BPY Retail,Core Retail,Mall of Louisiana,,,,,,,,,,,,,0.40%,1.12%,1.06%,
"Birmingham-Cullman-Talladega, AL",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Riverchase Galleria,,,,,,,,,,,,,-3.10%,1.97%,0.29%,
"Boise City-Mountain Home-Ontario, ID-OR",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Boise Towne Square,,,,,,,,,,,,,4.45%,1.10%,0.57%,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,Church Park,Church Park,,,,,,,0.81%,3.68%,4.95%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,23 Concord Street,,,,3.00%,1.95%,0.31%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,29 Concord St,,,,56.94%,1.95%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,35-37 Concord St.,,,,2.27%,1.95%,0.84%,,,,,,,,,,
