CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Albuquerque-Santa Fe-Los Alamos, NM",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Coronado Center,,,,,,,,,,,,,4.00%,2.37%,0.75%,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ullamcorper quam ligula, ac pellentesque libero congue vitae. Maecenas quis libero nec sem sollicitudin auctor vel quis purus. Nullam eleifend maximus justo vitae facilisis. Etiam sed nibh risus. Quisque sed orci quis nulla ornare ullamcorper sed ac mi. Proin scelerisque turpis id gravida maximus. Duis sit amet molestie purus, faucibus convallis eros. Vivamus egestas quis leo ut commodo."
"Allentown-Bethlehem-East Stroudsburg, PA-NJ",BPREP US,National Logistics Portfolio,9775 Commerce Circle,,,,52.58%,4.35%,,,,,,,,,,,
"Appleton-Oshkosh-Neenah, WI",BPY / CIC/BPY Retail,Core Retail,Fox River Mall,,,,,,,,,,,,,1.82%,0.26%,0.33%,comment test
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,550 Rock Hill Drive,,,,3.00%,3.72%,0.46%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,600 Wharton Drive,,,,2.73%,3.72%,0.15%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 1000,,,,13.30%,3.72%,0.22%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 200,,,,9.22%,3.72%,0.58%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 400,,,,-23.57%,3.72%,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 600,,,,4.65%,3.72%,0.29%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 800,,,,3.50%,3.72%,0.25%,,,,,,,,,,
